file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run1.mca,92.962,05/20/2025 02:07:20,9.998424,9.84 x 1.0161,4858,11215,1024,141.2203818582811,145.41367873421942,298.9931768154601,288,0.5088240976965446,0.1763377644027497,0.4213916178833525,-0.009679030745103229,0.0005623200165195503,0.009679030745103229,0.0005623200165195503,1.3959218099352555,0.1267444181453276,103.31613013068643,6.002329110403501,1-sigma propagated from slope standard error,Run1_analysis.png,ok
Run10.mca,90.006,05/20/2025 03:41:28,9.998424,9.84 x 1.0161,4427,9962,1024,128.64049123046615,130.7371396684353,297.9448525964755,312,0.5178470096714938,0.17865899254728435,0.4240420158532403,-0.009102424562031777,0.0004988476576826765,0.009102424562031777,0.0004988476576826765,1.1937360754868764,0.1088920705662728,109.8608390748132,6.020793896180461,1-sigma propagated from slope standard error,Run10_analysis.png,ok
Run11.mca,112.78,05/20/2025 03:46:25,9.998424,9.84 x 1.0161,5905,12815,1024,148.55865139117313,150.6552998291423,299.5173389249524,284,0.5320684773169372,0.17801413121137047,0.42341072586821116,-0.010439578596580758,0.000582996303010396,0.010439578596580758,0.000582996303010396,1.5859546654914107,0.1335066432378346,95.78930708252216,5.349335835771056,1-sigma propagated from slope standard error,Run11_analysis.png,ok
Run12.mca,98.929,05/20/2025 03:52:43,9.998424,9.84 x 1.0161,4357,9913,1024,145.41367873421942,149.60697561015772,297.42069048698323,275,0.4860285258093824,0.2041636926603847,0.4534968548606698,-0.010371457837866208,0.0006455012846711637,0.010371457837866208,0.0006455012846711637,1.4055147990517525,0.14585617511185675,96.41846070559131,6.000915322072024,1-sigma propagated from slope standard error,Run12_analysis.png,ok
Run13.mca,92.966,05/20/2025 04:22:04,9.998424,9.84 x 1.0161,3647,8438,1024,126.543842792497,129.16465333995845,298.9931768154601,311,0.45282190526416677,0.18794206116316647,0.43492357332464543,-0.008239127352721802,0.0005152317453889109,0.008239127352721802,0.0005152317453889109,0.7926117883767531,0.11143875310811713,121.37207706464802,7.589972145149279,1-sigma propagated from slope standard error,Run13_analysis.png,ok
Run14.mca,93.945,05/20/2025 04:34:40,9.998424,9.84 x 1.0161,2932,7014,1024,140.6962197487888,142.79286818675797,294.79987993952176,263,0.393316848503907,0.24257906590729436,0.4944066234631252,-0.009561848322518761,0.0007350743834916631,0.009561848322518761,0.0007350743834916631,0.831640096181921,0.15921557054618152,104.58229060640257,8.039843364864929,1-sigma propagated from slope standard error,Run14_analysis.png,ok
Run15.mca,92.983,05/20/2025 04:53:22,9.998424,9.84 x 1.0161,2446,6128,1024,147.51032717218857,149.60697561015772,298.4690147059678,247,0.3983819896293911,0.2202395864840334,0.4712085108096131,-0.009357995656952077,0.0007347005475568686,0.009357995656952077,0.0007347005475568686,0.6157161046278982,0.16179650252033326,106.86048985896863,8.389666258634547,1-sigma propagated from slope standard error,Run15_analysis.png,ok
Run16.mca,91.035,05/20/2025 05:25:56,9.998424,9.84 x 1.0161,4120,9075,1024,142.79286818675797,144.88951662472712,295.84820415850635,285,0.49379600672669177,0.21526402963485566,0.4656021157572699,-0.010499945118089665,0.0006319501306519965,0.010499945118089665,0.0006319501306519965,1.4157208575327065,0.14156670738113816,95.23859303580223,5.732033894957887,1-sigma propagated from slope standard error,Run16_analysis.png,ok
Run17.mca,103.847,05/21/2025 01:28:55,9.998424,9.84 x 1.0161,2813,6701,1024,138.07540920132735,140.17205763929653,287.46161040662975,261,0.427996848120637,0.21818756744327777,0.4689055486171185,-0.009677841973198384,0.0006951964886293563,0.009677841973198384,0.0006951964886293563,0.7580491381018214,0.14881568337314005,103.32882090546418,7.422505313335914,1-sigma propagated from slope standard error,Run17_analysis.png,ok
Run18.mca,91.015,05/21/2025 02:01:53,9.998424,9.84 x 1.0161,1805,4734,1024,132.83378810640446,134.93043654437363,291.65490728256805,258,0.24535765674199161,0.23498039498311635,0.48663762628769464,-0.006587706739072975,0.0007220795613920116,0.006587706739072975,0.0007220795613920116,-0.1503430822497537,0.15061748739018643,151.79789259118118,16.63859064222646,1-sigma propagated from slope standard error,Run18_analysis.png,ok
