Run #,Spectral Temp,Error,Sum Counts,Livetimes,Coeff A,Coeff B,Coeff C,Coeff D,Date,comments,Time,Inj (A),Extr (A),Cent (A),Sext (A),Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),O balzer,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,14 GHz,18 GHz refl,CSD,MCA (gain 10) Run # (90 sec),Total Counts,O6+ I (uA),Ts range (hand),Ts (hand),Error (hand),Sum of counts
Run01,17.2208301,0.8808989971,43.72300984,92.962,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,,1:51:59 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.27,8.76,19.99,6.807,2,0.149,43,14.73,2002,302,,1,1:50:00,1,,791,40-60,20.0979,0.1801,28.22
Run03,16.33609727,0.8934592511,39.61370993,90.007,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,,3:02:36 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.35,8.76,19.99,7.09,2,0.191,43,15.73,1994,48,,0,3:05:46,3,,838,40-60,22.3057,0.1943,24.75
Run04,18.61173384,0.9254819294,63.41662896,90.027,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,,3:08:22 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.33,8.76,19.99,7.509,2,0.137,43,15.89,3005,48,,0,3:09:54,4,,991,40-60,22.9976,0.1513,40.17
Run05,20.30119808,0.6107034585,88.47948588,90.02,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,,3:12:48 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.41,8.76,19.99,7.662,2,0.28,43,20.96,4021,48,,0,3:14:06,5,,950,40-60,21.9395,0.1246,56.47
Run06,12.15566628,0.7076159377,20.79017347,93.956,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,,3:17:48 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.29,8.76,19.99,5.258,2,0.117,43,12.48,1007,48,,0,3:19:55,6,,546,40-60,23.4478,0.2965,13.65
Run07,16.8654837,0.8902813729,41.29600537,90.004,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,pressure,3:26:59 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.43,9.08,19.99,7.271,2,0.224,43,16.36,2005,48,,0,3:28:44,7,,920,40-60,19.8642,0.1966,26.34
Run08,12.50078129,0.6546774822,36.37753437,91.003,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,,3:31:59 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.65,9.38,19.99,8.178,2,0.484,43,17.83,1993,48,,0,3:33:34,8,,922,40-60,25.072,0.1706,23.58
Run09,15.03591996,0.8647930232,38.48674049,92.003,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,unstable plasma (too much O),3:36:33 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.82,9.58,19.99,9,2,0.666,43,19.9,1995,48,,0,3:38:05,9,,880,40-60,23.6905,0.1859,24.54
Run10,17.12677009,0.9890655869,41.45449595,90.006,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,,3:41:31 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.17,8.51,19.99,6.45,2,0.079,43,14.05,1993,48,,0,3:43:05,10,,817,40-60,20.5152,0.211,26.27
Run11,19.20190511,0.8658237746,44.24121405,112.78,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,unstable plasma (too little O),3:45:54 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,0.97,8.13,19.99,5.01,2,0.015,43,11.36,2008,48,,0,3:48:27,11,,661,40-60,21.4645,0.1559,27.78
Run12,16.12230548,0.8816936346,37.48823641,98.929,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,lowered bias,3:52:39 AM,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.36,7.83,19.99,4.442,2,0.038,12,7.41,2002,47,,0,3:55:03,12,,464,40-60,20.747,0.1988,23.51
Run13,14.11713791,0.7694650815,32.86583359,92.966,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,bmin,4:22:07 AM,184.03,149.03,150.97,440,3.36,2.05,0.5,2.1,1.39,8.73,19.99,4.577,2,0.066,12,7.32,1996,48,,0,4:23:45,13,,464,40-60,18.0216,0.2091,21.08
Run14,11.11481329,0.573078003,26.27064028,93.945,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,,4:36:32 AM,184.03,149.03,155,440,3.36,2.04,0.48,2.1,1.41,8.73,19.99,4.456,2,0.108,12,7.98,2009,48,,0,4:36:22,14,,462,40-60,18.8952,0.2708,17.64
Run15,10.68466377,0.5493153663,21.68314411,92.983,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/20/2025,"as Bmin drops, +3O increases, +7O decreases",4:53:31 AM,184.03,149.03,154.01,440,3.35,2.04,0.46,2.1,1.46,8.73,19.99,4.095,2,0.066,12,8.01,2007,48,,0,4:55:05,15,,368,40-60,21.7068,0.2657,14.94
Run16,18.03470885,0.9072380431,38.70383158,91.035,1.777889687,-0.01634875293,5.26E-05,-5.62E-08,5/21/2025,starting values,5:26:02 AM,184.03,149.03,147.01,440,3.37,2.06,0.53,2.1,1.43,8.73,19.99,4.505,2,0.043,12,7.66,1995,47,,0,5:27:34,16,,451,40-60,21.394,0.193,24.9
