Date,Time,Detector,Comments,Action,Gain,Run,CSD,Inj (A),Extr (A),Cent (A),Sext (A),Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),Oxygen %,Xenon %,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,14 GHz,18 GHz refl,JYB Bmin (T),JYB Ts
5/20/2025,1:51:59 AM,CdTe,,,10,01,1:50:00,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.27,8.76,,19.99,6.807,2,0.149,43,14.73,2002,302,,1,,
5/20/2025,2:59:05 AM,,"no 18, only 28; overwrote",,10,,3:01:12,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.28,8.76,,19.99,5.352,2,0.125,43,12.51,1020,48,,0,,
5/20/2025,3:02:36 AM,,,changing 28 GHz,10,03,3:05:46,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.35,8.76,,19.99,7.09,2,0.191,43,15.73,1994,48,,0,,
5/20/2025,3:08:22 AM,,,,10,04,3:09:54,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.33,8.76,,19.99,7.509,2,0.137,43,15.89,3005,48,,0,,
5/20/2025,3:12:48 AM,,"also spreadsheet has sext = 460 instead of actual 440. does this matter?; on spreadsheet, min field at center is NOT at physical location of 0; the calculated T on K2 matches the min field on spreadsheet at location 0; so which one is correct",,10,05,3:14:06,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.41,8.76,,19.99,7.662,2,0.28,43,20.96,4021,48,,0,,
5/20/2025,3:17:48 AM,,,,10,06,3:19:55,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.29,8.76,,19.99,5.258,2,0.117,43,12.48,1007,48,,0,,
5/20/2025,3:26:59 AM,,,changing pressure,10,07,3:28:44,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.43,9.08,,19.99,7.271,2,0.224,43,16.36,2005,48,,0,,
5/20/2025,3:31:59 AM,,,,10,08,3:33:34,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.65,9.38,,19.99,8.178,2,0.484,43,17.83,1993,48,,0,,
5/20/2025,3:36:33 AM,,unstable plasma (too much O),,10,09,3:38:05,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.82,9.58,,19.99,9,2,0.666,43,19.9,1995,48,,0,,
5/20/2025,3:41:31 AM,,,,10,10,3:43:05,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.17,8.51,,19.99,6.45,2,0.079,43,14.05,1993,48,,0,,
5/20/2025,3:45:54 AM,,unstable plasma (too little O),,10,11,3:48:27,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,0.97,8.13,,19.99,5.01,2,0.015,43,11.36,2008,48,,0,,
5/20/2025,3:52:39 AM,,lowered bias,changing Bmin,10,12,3:55:03,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.36,7.83,,19.99,4.442,2,0.038,12,7.41,2002,47,,0,,
5/20/2025,4:22:07 AM,,,,10,13,4:23:45,184.03,149.03,150.97,440,3.36,2.05,0.5,2.1,1.39,8.73,,19.99,4.577,2,0.066,12,7.32,1996,48,,0,,
5/20/2025,4:36:32 AM,,,,10,14,4:36:22,184.03,149.03,155,440,3.36,2.04,0.48,2.1,1.41,8.73,,19.99,4.456,2,0.108,12,7.98,2009,48,,0,,
5/20/2025,4:53:31 AM,,"as Bmin drops, +3O increases, +7O decreases",,10,15,4:55:05,184.03,149.03,154.01,440,3.35,2.04,0.46,2.1,1.46,8.73,,19.99,4.095,2,0.066,12,8.01,2007,48,,0,,
5/20/2025,5:26:02 AM,,back to starting values,,10,16,5:27:34,184.03,149.03,147.01,440,3.37,2.06,0.53,2.1,1.43,8.73,,19.99,4.505,2,0.043,12,7.66,1995,47,,0,,
5/21/2025,1:25:28 AM,CdTe,,,10,17,1:31:13,135,105,102,300,2.48,1.46,0.41,1.43,0.87,11.03,,19.99,4.003,2,0.042,24,7.13,1996,50,,0,,
5/21/2025,1:57:21 AM,,,,10,18,2:03:32,135.07,105,105.98,300,2.47,1.46,0.38,1.43,0.85,11.03,,19.99,4.231,2,0.079,30,6.13,1999,51,,0,,
5/21/2025,2:07:15 AM,,,,10,19,2:10:47,135.03,105,110,300,2.47,1.45,0.35,1.43,0.88,11.03,,19.99,3.735,2,0.106,30,9.01,2006,50,,1,,
5/21/2025,2:16:17 AM,,"plot intensity of charge state as function of field (x), counts on y axis, each charge state different color, see where lines cross over, integrate total counts",,10,20,2:18:02,135,105,114.02,300,2.46,1.44,0.33,1.43,0.86,11.03,,19.99,4.2,2,0.084,30,8.16,1979,53,,1,,
5/21/2025,2:30:14 AM,,2D histogram,,10,21,2:32:00,135.12,105,97.99,300,2.49,1.47,0.43,1.43,0.84,11.03,,19.99,4.08,2,0.051,30,7.73,1991,49,,0,,
5/21/2025,2:35:49 AM,,,,10,22,2:38:01,134.93,105,94.03,300,2.49,1.48,0.46,1.43,0.89,11.98,,19.99,3.89,2,0.043,30,7.38,1997,49,,0,,
5/21/2025,2:47:29 AM,,,,10,23,2:49:26,134.9,105,90,300,2.5,1.49,0.49,1.43,0.87,11.98,,19.99,4.3,2,0.01,30,6.54,2001,49,,0,,
5/21/2025,2:51:46 AM,,,,10,24,2:54:33,135.16,105.01,85.99,299.99,2.51,1.5,0.51,1.43,0.92,11.98,,19.99,3.9,2,0.055,31,7,2001,49,,0,,
5/21/2025,3:19:02 AM,,unstable plasma; increasing sextupole field is increasing FCV1 value,changing sextupole,10,25,3:23:48,135.04,105,82.01,299.99,2.52,1.51,0.54,1.43,0.95,11.98,,19.99,4,2,0.03,31,8,2005,47,,0,,
5/21/2025,3:34:58 AM,,,,10,26,3:36:25,135,105,82.01,320,2.52,1.51,0.54,1.53,0.94,11.98,,19.99,3.9,2,0.041,30,8,1997,47,,0,,
5/21/2025,3:51:28 AM,,,,10,27,3:53:18,135,105,82.01,340,2.52,1.51,0.54,1.62,1.18,13.98,,19.99,3.88,2,0,10,5.07,2000,47,,0,,
5/21/2025,3:57:01 AM,,,,10,28,3:58:55,135,105,82.01,360,2.52,1.51,0.54,1.72,1.32,13.98,,19.99,4.25,2,0.01,10,6.41,2001,46,,0,,
5/21/2025,4:17:12 AM,,klystron tripped off,changing all magnets,10,29,4:18:44,144.92,114.83,92.01,360,2.7,1.61,0.56,1.72,1.53,13.98,,19.99,4.1,2,0.1,10,8,1998,0,,0,,
5/21/2025,4:34:04 AM,,"starved plasma; shift to lower charge states, almost no +6",,10,30,4:35:35,154.99,124.63,92.01,360.01,2.9,1.79,0.65,1.72,1.4,8.01,,19.99,2.005,2,0.006,14,3.82,2004,0,,0,,
5/21/2025,4:55:46 AM,,back to normal 6+ amount? weird,,10,31,4:57:40,155,125,102.02,360,2.88,1.78,0.59,1.72,1.3,8.78,,19.99,4.1,2,0.02,14,7.98,2003,0,,0,,
5/21/2025,5:01:40 AM,,,,10,32,5:03:19,155,125,102.02,380.19,2.88,1.78,0.59,1.81,1.32,8.78,,19.99,3.94,2,0.03,14,8,2008,0,,0,,
5/21/2025,5:14:01 AM,,,,10,33,5:15:58,155,125,102.01,400,2.88,1.78,0.59,1.91,1.33,8.78,,19.99,3.9,2,0.03,14,7,2010,0,,0,,
5/21/2025,5:24:47 AM,,,,10,34,5:27:03,155,125,102.02,420,2.88,1.78,0.59,2.01,1.31,8.78,,19.99,4,2,0.04,15,7,1997,0,,0,,
5/21/2025,5:40:45 AM,,so many counts!!,,10,35,5:42:18,155,125,102.01,440,2.88,1.78,0.59,2.1,1.32,8.78,,19.99,4.1,2,0.05,15,6.9,2003,0,,0,,
5/21/2025,5:57:51 AM,,,,10,36,5:59:26,165.04,135.18,102.02,440,3.08,1.93,0.68,2.1,1.4,8.78,,19.99,3.66,2,-0.004,14,6.7,1997,0,,0,,
5/21/2025,6:07:13 AM,,,,10,37,6:08:52,165.03,145.47,92.01,440.01,3.11,2.11,0.79,2.1,1.53,8.78,,19.99,3.4,2,0.01,14,7,1997,0,,0,,
5/21/2025,6:25:47 AM,,"gyrotron turned off bc I set center to 82 A, which was 0.9 T. condition is only good for <0.9 T. Set it to 84.5 A instead, had to run it back up to 2000 W",,10,38,6:27:29,165,152.42,84.51,440,3.12,2.22,0.87,2.1,1.77,8.78,,19.99,2.43,2,0.01,14,6,1988,0,,0,,
5/21/2025,6:33:19 AM,,,,10,39,6:34:49,165,149.04,87.99,440,3.12,2.17,0.84,2.1,1.47,8.78,,19.99,3.07,2,0,14,7,1996,0,,0,,
5/21/2025,6:37:08 AM,,,,10,40,6:38:43,164.85,149.02,98.33,440,3.09,2.14,0.77,2.1,1.43,8.78,,19.99,3.1,2,-0.002,14,6.88,2006,0,,0,,
5/21/2025,6:42:13 AM,,,,10,41,6:43:44,165.01,149.03,107.99,440,3.08,2.12,0.7,2.1,1.4,8.78,,19.99,3.4,2,-0.002,14,7.1,2010,0,,0,,
5/21/2025,6:48:31 AM,,,,10,42,6:49:14,165,149.03,117.99,440,3.06,2.1,0.64,2.1,1.4,8.78,,19.99,3.84,2,-0.006,14,7.2,1993,0,,0,,
5/21/2025,6:53:04 AM,,,,10,43,6:54:50,164.98,149.03,127.94,440.01,3.04,2.08,0.57,2.1,1.33,8.78,,19.99,3.9,2,0.005,14,6.69,2006,0,,0,,
5/21/2025,6:59:27 AM,,,,10,44,7:01:01,165.01,149.03,137.95,440,3.02,2.05,0.5,2.1,1.32,8.78,,19.99,4.153,2,0.05,14,7.6,2004,0,,0,,
5/21/2025,7:07:44 AM,,,,10,45,7:09:42,165,149.02,147.03,440,3.01,2.03,0.44,2.1,1.31,8.78,,19.99,4.3,2,0.096,14,7.82,2001,0,,0,,
7/9/25,7:37:39 PM,CdTe,,,10,01,19:44:52,165,110,140,360,2.99,1.49,0.31,1.72,2.2,8.3,,12.5,3.2,2,0.27,16,3.41,0,495,100,,,
7/9/25,7:50:14 PM,,,,10,02,19:52:06,165,110,140,360,2.99,1.49,0.31,1.72,2.37,8.31,,12.5,3.5,2,0.409,16,4.5,0,1000,100,,,
7/9/25,7:55:20 PM,,,,10,03,19:57:32,165,110,140,360,2.99,1.49,0.31,1.72,2.86,8.31,,12.5,3.54,2,0.36,12,4.85,0,1492,100,,,
7/9/25,8:03:19 PM,,,,10,04,20:02:46,165,110,140,360,2.99,1.49,0.31,1.72,3.33,8.31,,12.5,3.521,2,0.308,12,4.6,0,1785,99,,,
7/9/25,,,,,10,05,21:01:58,165,110,140,360,2.99,1.49,0.31,1.72,2.63,8.31,,12.5,2.04,2,0.085,13,0.5,47,0,1592,,,
7/9/25,9:14:32 PM,,,,10,06,21:16:23,165,110,140,360,2.99,1.49,0.31,1.72,3.35,8.31,,12.5,5.7,2,1.258,12,2.66,1498,0,1526,,,
7/9/25,9:21:08 PM,,,,10,07,21:23:06,165,110,140,360,2.99,1.49,0.31,1.72,2.66,8.31,,12.5,3.17,2,0.168,8,0.69,498,987,1500,,,
7/9/25,9:25:58 PM,,,,10,08,21:28:03,165,110,140,360,2.99,1.49,0.31,1.72,2.58,8.31,,12.5,3.365,2,0.189,8,0.47,995,506,1504,,,
7/9/25,9:30:18 PM,,,,10,09,21:32:38,165,110,140,360,2.99,1.49,0.31,1.72,2.55,8.31,,12.5,2.816,2,0.153,8,0.53,309,503,1491,,,
7/9/25,9:35:04 PM,,,,10,10,21:36:52,165,110,140,360,2.99,1.49,0.31,1.72,2.55,8.31,,12.5,276,2,0.14,8,0.36,495,302,1488,,,
7/9/25,9:39:19 PM,,,,10,11,21:41:24,165,110,140,360,2.99,1.49,0.31,1.72,2.77,8.31,,12.5,2.88,2,0.168,8,0.41,61,1476,1498,,,
7/9/25,9:44:50 PM,,plasma unstable,,10,12,21:47:37,165,110,140,360,2.99,1.49,0.31,1.72,2.58,8.31,,12.5,3.6,2,0.3,8,0,1009,1015,994,,,
7/9/25,9:48:55 PM,,,,10,13,21:50:56,165,110,140,360,2.99,1.49,0.31,1.72,2.59,8.31,,12.5,3.57,2,0.222,8,0.41,1504,506,991,,,
7/9/25,9:53:22 PM,,,,10,14,21:55:46,165,110,140,360,2.99,1.49,0.31,1.72,2.62,8.31,,12.5,3.36,2,0.24,8,0.59,502,1476,1009,,,
7/9/25,9:57:14 PM,,,,10,15,21:59:25,165,110,140,360,2.99,1.49,0.31,1.72,2.51,8.31,,12.5,2.9,2,0.17,8,0.44,253,763,997,,,
7/9/25,10:03:27 PM,,,,10,16,22:04:26,165,110,140,360,2.99,1.49,0.31,1.72,2.31,8.31,,12.5,3.19,2,0.144,8,0.03,747,252,1007,,,
7/9/25,10:10:14 PM,,,,10,17,22:11:47,165,110,140,360,2.99,1.49,0.31,1.72,2.4,8.31,,12.5,3.95,2,0.36,8,0.34,1011,1485,503,,,
7/9/25,10:13:53 PM,,,,10,18,22:15:58,165,110,140,360,2.99,1.49,0.31,1.72,2.49,8.31,,12.5,3.844,2,0.285,8,0.44,1500,1014,499,,,
7/9/25,10:20:46 PM,,,,10,19,22:20:01,165,110,140,360,2.99,1.49,0.31,1.72,2.5,8.31,,12.5,3.3,2,0.265,8,0.4,500,500,500,,,
7/9/25,10:24:01 PM,,didn't save MCA,,10,20,22:25:59,165,110,140,360,2.99,1.49,0.31,1.72,2.47,8.31,,12.5,3.47,2,0.32,8,0.41,199,1479,298,,,
7/9/25,10:28:27 PM,,,,10,21,22:30:33,165,110,140,360,2.99,1.49,0.31,1.72,2.24,8.31,,12.5,3.16,2,0.213,8,0.19,751,508,248,,,
7/9/25,10:47:29 PM,,,,10,22,22:49:12,165,110,140,360,2.99,1.49,0.31,1.72,2.4,8.31,,12.5,3.9,2,0.323,8,0.1,1547,303,205,,,
7/9/25,10:51:26 PM,,,,10,23,22:53:31,165,110,140,360,2.99,1.49,0.31,1.72,2.19,8.31,,12.5,3.63,2,0.328,8,0.41,1000,393,148,,,
7/9/25,10:55:21 PM,,,,10,24,22:57:27,165,110,140,360,2.99,1.49,0.31,1.72,2.27,8.31,,12.5,2.5,2,0.109,8,0.13,150,150,149,,,
7/9/25,11:01:24 PM,,,,10,25,23:01:09,165,110,140,360,2.99,1.49,0.31,1.72,2.31,8.31,,12.5,298,2,0.19,8,0.5,400,198,198,,,
7/9/25,11:03:48 PM,,,,10,26,23:05:44,165,110,140,360,2.99,1.49,0.31,1.72,2.3,8.31,,12.5,2.95,2,0.2,8,0.8,504,0,101,,,
7/9/25,11:07:21 PM,,,,10,27,23:09:33,165,110,140,360,2.99,1.49,0.31,1.72,2.24,8.31,,12.5,3.71,2,0.322,8,0.25,997,0,108,,,
7/9/25,11:11:55 PM,,,,10,28,23:13:37,165,110,140,360,2.99,1.49,0.31,1.72,2.38,8.31,,12.5,3.77,2,0.288,8,0.31,1495,0,102,,,
7/9/25,11:16:35 PM,,,,10,29,23:18:32,165,110,140,360,2.99,1.49,0.31,1.72,2.58,8.31,,12.5,4,2,0.38,8,0.53,1998,0,99,,,
7/9/25,11:22:55 PM,,"*turned off 14 GHz, but still showing FWD power",,10,30,23:22:40,165,110,140,360,2.99,1.49,0.31,1.72,2.46,8.31,,12.5,3.889,2,0.3,8,0.72,2001,99,35,,,
7/9/25,11:24:32 PM,,"*turned off 14 GHz, but still showing FWD power",,10,31,23:26:29,165,110,140,360,2.99,1.49,0.31,1.72,2.28,8.31,,12.5,3.76,2,0.25,8,0.75,1506,99,74,,,
