file,livetime,date,time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,datetime,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq,Detector,Comments,Action,Gain,Run,CSD,Inj (A),Extr (A),Cent (A),Sext (A),Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),Oxygen %,Xenon %,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,14 GHz,JYB Bmin (T),JYB Ts
Run01.mca,92.962,5/20/2025,2:07:20 AM,9.998424,9.84 x 1.0161,4858,11215,1024,141.2203819,145.4136787,249.1977764,199,0.36925515,0.131541096,0.364522343,-0.009216044,0.000858173,0.009216044,0.000858173,1.303743902,0.171282911,108.5064219,10.1038271,1-sigma propagated from slope standard error,Run01_analysis.png,5/20/2025 2:07,2.42E-06,48.208,1.752001562,6.15E-05,66.882,3.078356667,0.000270702,71.427,3.634485702,0.000790998,76.945,4.400947152,2.53E-05,78.451,4.579752723,0.000655471,84.029,5.24202196,0.000280879,107.672,8,CdTe,,,10,1,1:50:00,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.27,8.76,,19.99,6.807,2,0.149,43,14.73,2002,302,0,,
Run03.mca,90.007,5/20/2025,3:03:24 AM,9.998424,9.84 x 1.0161,4168,9819,1024,148.0344893,151.703624,249.7219385,188,0.283227042,0.149420635,0.388622321,-0.008541913,0.000996373,0.008541913,0.000996373,1.105329326,0.201983378,117.0697969,13.65563313,1-sigma propagated from slope standard error,Run03_analysis.png,5/20/2025 3:03,2.57E-06,47.446,1.702401875,2.49E-05,66.115,3.031706449,0.000139182,71.431,3.635168587,0.000534192,76.854,4.390142832,1.79E-05,78.268,4.558025353,0.000511845,83.685,5.201179254,0.000370196,107.745,8,,,changing 28 GHz,10,3,3:05:46,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.35,8.76,,19.99,7.09,2,0.191,43,15.73,1994,0,0,,
Run04.mca,90.027,5/20/2025,3:08:17 AM,9.998424,9.84 x 1.0161,6732,15099,1024,133.8821123,135.9787608,249.7219385,218,0.446033474,0.081441761,0.286698188,-0.007763161,0.000588667,0.007763161,0.000588667,1.4252122,0.115173319,128.8135006,9.767705167,1-sigma propagated from slope standard error,Run04_analysis.png,5/20/2025 3:08,2.54E-06,46.511,1.641541366,0.000111717,66.225,3.038396833,0.00042206,71.327,3.617413572,0.000990408,76.948,4.401303339,3.06E-05,78.266,4.557787895,0.000720358,83.771,5.21138993,0.000263096,107.607,8,,,,10,4,3:09:54,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.33,8.76,,19.99,7.509,2,0.137,43,15.89,3005,0,0,,
Run05.mca,90.02,5/20/2025,3:12:28 AM,9.998424,9.84 x 1.0161,9448,21187,1024,143.8411924,147.5103272,249.7219385,196,0.508568541,0.06747341,0.26109196,-0.008910133,0.00062884,0.008910133,0.00062884,1.983311886,0.126282404,112.2317725,7.920848152,1-sigma propagated from slope standard error,Run05_analysis.png,5/20/2025 3:12,2.72E-06,46.509,1.641411183,0.000112037,66.99,3.084925407,0.000404273,71.221,3.599317115,0.000949115,76.849,4.389549188,3.19E-05,78.728,4.6126406,0.000621564,83.767,5.210915015,0.000269832,107.534,8,,"also spreadsheet has sext = 460 instead of actual 440. does this matter?; on spreadsheet, min field at center is NOT at physical location of 0; the calculated T on K2 matches the min field on spreadsheet at location 0; so which one is correct",,10,5,3:14:06,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.41,8.76,,19.99,7.662,2,0.28,43,20.96,4021,0,0,,
Run06.mca,93.956,5/20/2025,3:18:08 AM,9.998424,9.84 x 1.0161,2369,5353,1024,145.9378408,151.703624,249.1977764,183,0.302568824,0.242686375,0.495346336,-0.011480825,0.001295604,0.011480825,0.001295604,1.008694408,0.261597403,87.10175107,9.829381424,1-sigma propagated from slope standard error,Run06_analysis.png,5/20/2025 3:18,2.70E-06,47.134,1.682093341,2.53E-05,66.553,3.058346339,0.000142743,71.222,3.599487836,0.000545454,76.755,4.378388681,1.83E-05,78.637,4.601836279,0.000480084,83.768,5.211033744,0.000361521,107.468,8,,,,10,6,3:19:55,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.29,8.76,,19.99,5.258,2,0.117,43,12.48,1007,0,0,,
Run07.mca,90.004,5/20/2025,3:27:04 AM,9.998424,9.84 x 1.0161,4364,10074,1024,144.8895166,146.9861651,236.6178858,172,0.322094729,0.140454741,0.37697102,-0.009926117,0.001104454,0.009926117,0.001104454,1.363117347,0.213777719,100.7443275,11.20956702,1-sigma propagated from slope standard error,Run07_analysis.png,5/20/2025 3:27,2.58E-06,47.752,1.722319859,6.40E-05,65.559,2.997889603,0.000306081,70.813,3.529662825,0.000919839,76.28,4.321992501,2.64E-05,78.825,4.624157293,0.00072858,84.032,5.242378147,0.000314021,107.879,8,,,changing pressure,10,7,3:28:44,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.43,9.08,,19.99,7.271,2,0.224,43,16.36,2005,0,0,,
Run08.mca,91.003,5/20/2025,3:31:55 AM,9.998424,9.84 x 1.0161,3953,10021,1024,139.1237334,153.2761104,249.7219385,184,0.39636087,0.159993015,0.402183018,-0.011618617,0.001062826,0.011618617,0.001062826,1.649113951,0.215961096,86.06876093,7.873234054,1-sigma propagated from slope standard error,Run08_analysis.png,5/20/2025 3:31,2.94E-06,47.289,1.692182516,5.62E-05,65.891,3.018082396,0.000296575,70.81,3.529150662,0.000921864,76.277,4.321636315,2.36E-05,78.637,4.601836279,0.00073533,84.029,5.24202196,0.00036574,107.604,8,,,,10,8,3:33:34,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.65,9.38,,19.99,8.178,2,0.484,43,17.83,1993,0,0,,
Run09.mca,92.003,5/20/2025,3:36:27 AM,9.998424,9.84 x 1.0161,4176,10740,1024,145.9378408,148.0344893,249.7219385,194,0.31642144,0.182099248,0.428947684,-0.009889006,0.001048971,0.009889006,0.001048971,1.331092356,0.21060911,101.1224015,10.72649972,1-sigma propagated from slope standard error,Run09_analysis.png,5/20/2025 3:36,3.54E-06,46.037,1.610688017,4.21E-05,66.554,3.058407161,0.000257529,71.428,3.634656423,0.000879777,76.851,4.389786645,2.17E-05,78.265,4.557669166,0.000741772,83.682,5.200823067,0.000443824,107.606,8,,unstable plasma (too much O),,10,9,3:38:05,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.82,9.58,,19.99,9,2,0.666,43,19.9,1995,0,0,,
Run10.mca,90.006,5/20/2025,3:41:28 AM,9.998424,9.84 x 1.0161,4427,9962,1024,128.6404912,151.1794619,249.7219385,187,0.400505871,0.136231869,0.371085766,-0.010629557,0.000956131,0.010629557,0.000956131,1.546172437,0.193122891,94.07729357,8.462271888,1-sigma propagated from slope standard error,Run10_analysis.png,5/20/2025 3:41,2.58E-06,47.291,1.692312699,8.52E-05,66.114,3.031645628,0.000317473,71.224,3.599829279,0.000816974,76.757,4.378626138,2.84E-05,78.266,4.557787895,0.000653186,83.858,5.221719336,0.000252988,107.539,8,,,,10,10,3:43:05,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.17,8.51,,19.99,6.45,2,0.079,43,14.05,1993,0,0,,
Run11.mca,112.78,5/20/2025,3:46:25 AM,9.998424,9.84 x 1.0161,5905,12815,1024,148.5586514,150.6552998,247.6252901,186,0.398079761,0.092761154,0.306217941,-0.008800695,0.000797797,0.008800695,0.000797797,1.275914801,0.160452317,113.6273871,10.30050537,1-sigma propagated from slope standard error,Run11_analysis.png,5/20/2025 3:46,1.98E-06,47.29,1.692247608,2.11E-05,65.335,2.98426555,8.90E-05,66.664,3.065097544,7.52E-05,66.883,3.078417489,0.000660602,76.851,4.389786645,0.000498496,83.595,5.190493662,0.00014272,107.061,8,,unstable plasma (too little O),,10,11,3:48:27,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,0.97,8.13,,19.99,5.01,2,0.015,43,11.36,2008,0,0,,
