Inj (A),Extr (A),Cent (A),Sext (A)
185,142,150,430
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
188.35,135.74,155.18,440
