file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run001.mca,299.97,09/19/2026 14:42:00,10.003343999999998,9.84 x 1.0166,13767,13766,1024,,122.35054591655869,216.17556351567845,180,0.5285526167016352,0.07374423715482205,0.27308025210392983,-0.010557248374207304,0.0007473314156009548,0.010557248374207304,0.0007473314156009548,0.5776963444711887,0.12812271404357417,94.72165137680447,6.705200380094552,1-sigma propagated from slope standard error,Run001_analysis.png,ok
Run002.mca,599.46,09/19/2026 16:53:55,10.003343999999998,9.84 x 1.0166,30202,30175,1024,,131.2613017779276,227.7071299245088,185,0.8213068673164272,0.030836258470164832,0.17655952752388143,-0.01344897698217069,0.0004637296979035289,0.01344897698217069,0.0004637296979035289,1.145905215861124,0.08423833332787992,74.35509788779474,2.563813376051234,1-sigma propagated from slope standard error,Run002_analysis.png,ok
Run003.mca,599.1,09/19/2026 17:13:07,10.003343999999998,9.84 x 1.0166,4032,4026,1024,,128.11632912097386,187.34664749360255,114,0.23663946395451163,0.15237073393753758,0.3938167592938471,-0.012599878916408685,0.0021383491873942805,0.012599878916408685,0.0021383491873942805,-1.137751135559207,0.3392957767263055,79.36584205564951,13.46932656992021,1-sigma propagated from slope standard error,Run003_analysis.png,ok
Run004.mca,599.88,09/19/2026 17:25:58,10.003343999999998,9.84 x 1.0166,4522,4521,1024,,128.64049123046615,192.06410647903314,122,0.23576872761540257,0.2112928657344208,0.4634807584966836,-0.013830977429816841,0.0022731680969995042,0.013830977429816841,0.0022731680969995042,-0.8054010369761033,0.36691505711534084,72.30147002078093,11.882992062664494,1-sigma propagated from slope standard error,Run004_analysis.png,ok
Run005.mca,599.16,09/19/2026 17:39:31,10.003343999999998,9.84 x 1.0166,4877,4870,1024,,133.35795021589675,211.45810453024785,149,0.3704860048539752,0.17342787377340485,0.419270123764962,-0.014036061960803668,0.0015090492039828123,0.014036061960803668,0.0015090492039828123,-0.6401772355897529,0.2623428723988734,71.24505454539491,7.6597191683588415,1-sigma propagated from slope standard error,Run005_analysis.png,ok
Run006.mca,599.64,09/19/2026 17:53:53,10.003343999999998,9.84 x 1.0166,4971,4968,1024,,138.59957131081964,214.60307718720156,146,0.36503442372357475,0.2269868197157602,0.4797284799071603,-0.016352135270527875,0.001797220670550165,0.016352135270527875,0.001797220670550165,-0.23556604660816716,0.3198651178483019,61.15409293380425,6.721287348170939,1-sigma propagated from slope standard error,Run006_analysis.png,ok
Run007.mca,599.88,09/19/2026 18:08:48,10.003343999999998,9.84 x 1.0166,5082,5081,1024,,122.35054591655869,213.554752968217,172,0.38942277936960323,0.2017742500177127,0.4518274722986678,-0.013521905243391677,0.0012985929785423733,0.013521905243391677,0.0012985929785423733,-0.738353633231956,0.2203529314619096,73.95407540580958,7.102271560696791,1-sigma propagated from slope standard error,Run007_analysis.png,ok
Run008.mca,598.56,09/19/2026 18:20:57,10.003343999999998,9.84 x 1.0166,5327,5314,1024,,121.30222169757411,215.12723929669386,180,0.47579669864288576,0.1631167135266482,0.40613973653010776,-0.014127628434631138,0.0011114717446405796,0.014127628434631138,0.0011114717446405796,-0.5446224251908183,0.18940074251432298,70.78328854889007,5.568777914768716,1-sigma propagated from slope standard error,Run008_analysis.png,ok
Run009.mca,599.76,09/19/2026 18:32:45,10.003343999999998,9.84 x 1.0166,5070,5068,1024,,127.59216701148156,215.12723929669386,166,0.38624957268786,0.1920934582540569,0.4409490462666822,-0.013768160442920166,0.0013552390032898739,0.013768160442920166,0.0013552390032898739,-0.6907044920098867,0.234153176352731,72.63134419051732,7.149308792299584,1-sigma propagated from slope standard error,Run009_analysis.png,ok
Run010.mca,598.68,09/19/2026 18:45:43,10.003343999999998,9.84 x 1.0166,5056,5045,1024,,131.7854638874199,212.5064287492324,154,0.3381446950077146,0.18254310757165415,0.43005231142968875,-0.013043388188017147,0.001480126599987957,0.013043388188017147,0.001480126599987957,-0.787722175215794,0.2568691010077698,76.66719609853303,8.699975394137406,1-sigma propagated from slope standard error,Run010_analysis.png,ok
Run011.mca,598.86,09/19/2026 19:00:01,10.003343999999998,9.84 x 1.0166,7526,7512,1024,,123.39887013554326,215.65140140618615,177,0.4581069637784374,0.147299582287947,0.38598316813758027,-0.013176075777039463,0.0010832791833677465,0.013176075777039463,0.0010832791833677465,-0.38008478409247126,0.18592063346084334,75.89513121521303,6.2397649463789735,1-sigma propagated from slope standard error,Run011_analysis.png,ok
Run012.mca,599.46,09/19/2026 19:13:19,10.003343999999998,9.84 x 1.0166,8241,8234,1024,,122.35054591655869,205.69232132583267,160,0.5458408524616973,0.08505172911343568,0.2934762908301598,-0.013206388170289003,0.0009583552569228307,0.013206388170289003,0.0009583552569228307,-0.2785412262810023,0.15889383462152948,75.72093043953868,5.49488253791285,1-sigma propagated from slope standard error,Run012_analysis.png,ok
Run013.mca,599.46,09/19/2026 19:27:08,10.003343999999998,9.84 x 1.0166,9186,9178,1024,,125.49551857351241,208.8372939827864,160,0.5412357137951251,0.07489862191119281,0.27540280632712055,-0.012278599531012215,0.0008993357741720933,0.012278599531012215,0.0008993357741720933,-0.27464474491815977,0.1519071277793063,81.44251284312085,5.965188876247249,1-sigma propagated from slope standard error,Run013_analysis.png,ok
Run014.mca,599.16,09/19/2026 19:39:49,10.003343999999998,9.84 x 1.0166,9778,9764,1024,,136.5029228728505,212.5064287492324,146,0.4988644827452716,0.10403828182823603,0.3247818621240098,-0.014567754606274835,0.0012167396777068686,0.014567754606274835,0.0012167396777068686,0.18004444573097397,0.21402135957958068,68.64475871726076,5.733402563077871,1-sigma propagated from slope standard error,Run014_analysis.png,ok
Run015.mca,599.16,09/19/2026 19:53:35,10.003343999999998,9.84 x 1.0166,10110,10096,1024,,121.30222169757411,222.9896709390782,195,0.5791167313127883,0.10849346869302356,0.3310857190255904,-0.013094837739999306,0.0008035617234091806,0.013094837739999306,0.0008035617234091806,-0.10084919130995539,0.14034707587130985,76.36597106853903,4.686180351376701,1-sigma propagated from slope standard error,Run015_analysis.png,ok
Run016.mca,599.04,09/19/2026 20:06:31,10.003343999999998,9.84 x 1.0166,10186,10170,1024,,123.39887013554326,218.7963740631399,183,0.5315090802917917,0.08706527705735567,0.2966939910373278,-0.011350307890421853,0.0007920700641957417,0.011350307890421853,0.0007920700641957417,-0.3478430141816245,0.13728454978235538,88.10333690100748,6.1482046468473746,1-sigma propagated from slope standard error,Run016_analysis.png,ok
Run017.mca,598.92,09/19/2026 20:19:08,10.003343999999998,9.84 x 1.0166,9844,9826,1024,,124.44719435452784,231.90042680044712,206,0.623472289728626,0.12927862337100632,0.36131158416944753,-0.014843501543824581,0.0008076276367011481,0.014843501543824581,0.0008076276367011481,0.15949600993449398,0.1460834695366076,67.36954869089061,3.665544092423608,1-sigma propagated from slope standard error,Run017_analysis.png,ok
Run018.mca,599.22,09/19/2026 20:34:26,10.003343999999998,9.84 x 1.0166,9759,9746,1024,,121.30222169757411,228.75545414349338,206,0.5843725610119235,0.12967518252725663,0.36186531727446786,-0.01369885069856754,0.0008088653776941437,0.01369885069856754,0.0008088653776941437,-0.029944372534620185,0.14380221603504564,72.99882464625794,4.310304796219024,1-sigma propagated from slope standard error,Run018_analysis.png,ok
Run019.mca,599.1,09/19/2026 20:46:31,10.003343999999998,9.84 x 1.0166,9308,9294,1024,,124.44719435452784,216.17556351567845,176,0.5213000678931755,0.12452007685947959,0.35489624133081205,-0.013827741107050283,0.0010045334613681368,0.013827741107050283,0.0010045334613681368,-0.05111633195167579,0.17316232098714682,72.31839186590895,5.253659577456149,1-sigma propagated from slope standard error,Run019_analysis.png,ok
Run020.mca,598.92,09/19/2026 21:00:02,10.003343999999998,9.84 x 1.0166,8903,8887,1024,,126.543842792497,219.3205361726322,178,0.4821231599984809,0.15248778923535905,0.3927093136432144,-0.013989272737921415,0.0010928814408914574,0.013989272737921415,0.0010928814408914574,-0.0565653397809534,0.19127279922416957,71.48334432634589,5.58448046661823,1-sigma propagated from slope standard error,Run020_analysis.png,ok
Run021.mca,599.22,09/19/2026 21:13:32,10.003343999999998,9.84 x 1.0166,9135,9123,1024,,123.39887013554326,216.69972562517074,179,0.5097038887568175,0.16055290345859752,0.40294796259545057,-0.015084036576369243,0.001111990800835557,0.015084036576369243,0.001111990800835557,0.08350694990268898,0.19147672864137738,66.29525160172358,4.887266717165427,1-sigma propagated from slope standard error,Run021_analysis.png,ok
