file,livetime,datetime,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status,csd,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq,Comments,Action,CSD,Inj (A),Extr (A),Cent (A),Sext (A),Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),Oxygen %,Xenon %,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,Total Power,28/18 Ratio
Run001.mca,119.844,9/12/2026 17:57,10.003344,9.84 x 1.0166,13143,13127,1024,127.0680049,129.1646533,249.7219385,230,0.652261414,0.11983275,0.347683641,-0.013606796,0.000657967,0.013606796,0.000657967,1.958874129,0.126584788,73.49268781,3.553794458,1-sigma propagated from slope standard error,Run001_analysis.png,ok,csd_1789261201,0.000176425,52.671,2.043998606,0.000277182,56.977,2.354716589,4.19E-06,60.598,2.696153317,4.39E-06,65.586,2.999531788,3.28E-06,76.103,4.300977504,2.63E-06,86.412,5.566686282,7.20E-05,100.154,7.547528478,"28 GHz fields, tuned up big stable O6+",,18:00:01,185,142,150,430,3.38,1.96,0.48,2.05,0.988,11.8,,12.5,2.75,2,0.063,37,3.1,5496,1783,7279,3.08
Run002.mca,119.748,9/12/2026 18:27,10.003344,9.84 x 1.0166,3387,3380,1024,116.5847627,118.6814112,227.1829678,200,0.313581201,0.217499741,0.468718154,-0.010238676,0.001076541,0.010238676,0.001076541,0.011851007,0.187240664,97.66888054,10.26935554,1-sigma propagated from slope standard error,Run002_analysis.png,ok,csd_1789263025,7.59E-05,52.589,2.038473513,0.000219193,56.901,2.347207488,2.84E-06,60.451,2.687212532,4.52E-06,65.522,2.995639201,4.35E-06,75.928,4.280199964,2.28E-06,86.367,5.560199752,9.19E-05,99.933,7.515672407,28 GHz fields,total power 1850,18:30:25,185,142,150,430,3.38,1.96,0.48,2.05,0.858,11.8,,12.5,2.52,2,0.063,51,3.5,925,925,1850,1
Run003.mca,120,9/12/2026 19:16,10.003344,9.84 x 1.0166,3449,3449,1024,127.0680049,129.6888154,229.2796163,176,0.338313191,0.20428833,0.454572846,-0.011216109,0.001189144,0.011216109,0.001189144,0.190408693,0.213511906,89.15747693,9.452570347,1-sigma propagated from slope standard error,Run003_analysis.png,ok,csd_1789265924,4.61E-05,52.586,2.038271375,0.000180672,56.898,2.346911076,2.00E-06,60.524,2.691652513,0.000188549,70.092,3.40657277,4.89E-06,75.924,4.279725049,2.23E-06,86.416,5.567262862,9.95E-05,100.113,7.541618528,,,19:18:14,185,142,150,430,3.38,1.96,0.48,2.05,0.843,11.8,,12.5,2.26,2,0.061,51,3.57,1234,616,1850,2
Run004.mca,119.928,9/12/2026 19:20,10.003344,9.84 x 1.0166,3186,3184,1024,121.3022217,123.9230322,215.6514014,171,0.343343434,0.228450331,0.480784655,-0.013274393,0.001412135,0.013274393,0.001412135,0.444332087,0.240872979,75.33301184,8.013952254,1-sigma propagated from slope standard error,Run004_analysis.png,ok,csd_1789266227,5.33E-05,52.585,2.038203996,0.000169331,56.978,2.354815393,1.64E-06,60.446,2.686908423,0.000158245,70.09,3.406231327,4.45E-06,75.922,4.279487592,2.13E-06,86.36,5.559190736,0.000109996,99.972,7.521294067,,,19:23:47,185,142,150,430,3.38,1.96,0.48,2.05,0.884,11.8,,12.5,2.179,2,0.056,51,3.44,1546,312,1858,4.96
Run005.mca,120,9/12/2026 19:25,10.003344,9.84 x 1.0166,2810,2810,1024,127.0680049,130.7371397,244.4803174,187,0.25217629,0.251906094,0.504608168,-0.00923757,0.001169552,0.00923757,0.001169552,-0.41493016,0.216296363,108.2535763,13.70578383,1-sigma propagated from slope standard error,Run005_analysis.png,ok,csd_1789266468,7.39E-05,52.585,2.038203996,0.000184631,56.978,2.354815393,1.67E-06,60.523,2.691591692,3.16E-06,65.517,2.995335093,3.87E-06,75.922,4.279487592,1.97E-06,86.36,5.559190736,9.57E-05,100.018,7.527924742,,,19:27:48,185,142,150,430,3.38,1.96,0.48,2.05,0.935,11.8,,12.5,2.2,2,0.07,43,3.2,1669,169,1838,9.88
Run006.mca,120,9/12/2026 19:29,10.003344,9.84 x 1.0166,2832,2832,1024,107.6740069,109.7706553,234.5212373,226,0.347516566,0.220447106,0.471609355,-0.009739908,0.000891719,0.009739908,0.000891719,-0.301750511,0.154296359,102.6703749,9.39978949,1-sigma propagated from slope standard error,Run006_analysis.png,ok,csd_1789266713,0.000108498,52.585,2.038203996,0.000233676,56.978,2.354815393,1.86E-06,60.523,2.691591692,3.18E-06,65.517,2.995335093,3.35E-06,75.983,4.286730048,1.73E-06,86.307,5.551551045,9.09E-05,99.925,7.514519246,,,19:31:53,185,142,150,430,3.38,1.96,0.48,2.05,0.94,11.8,,12.5,2.365,2,0.066,38,1.66,1732,124,1856,13.97
Run007.mca,119.844,9/12/2026 19:34,10.003344,9.84 x 1.0166,2406,2403,1024,143.3170303,193.1124307,214.6030772,37,0.457129997,0.127175806,0.36666469,-0.052335693,0.009640333,0.052335693,0.009640333,8.494285137,1.965020488,19.10741881,3.519622317,1-sigma propagated from slope standard error,Run007_analysis.png,ok,csd_1789267028,5.73E-05,52.585,2.038203996,0.000194381,56.978,2.354815393,2.21E-06,60.446,2.686908423,4.20E-06,65.446,2.991016755,4.60E-06,75.922,4.279487592,2.06E-06,86.467,5.574614263,0.000122519,100.11,7.541186093,28 GHz fields,total power 1350,19:37:08,185,142,150,430,3.38,1.96,0.48,2.05,0.843,11.8,,12.5,2.357,2,0.071,47,3.1,675,666,1341,1.01
Run008.mca,119.844,9/12/2026 19:39,10.003344,9.84 x 1.0166,2394,2391,1024,135.4545987,178.9600537,202.0231866,38,0.218218468,0.317363782,0.578787615,-0.043404897,0.013692553,0.043404897,0.013692553,5.784894494,2.600946007,23.03887534,7.267867095,1-sigma propagated from slope standard error,Run008_analysis.png,ok,csd_1789267281,4.87E-05,52.582,2.038001859,0.000181385,56.975,2.354518981,1.95E-06,60.52,2.691409227,4.04E-06,65.443,2.99083429,4.76E-06,75.918,4.279012676,2.10E-06,86.356,5.558614155,0.000104602,100.013,7.527204017,,,19:41:21,185,142,150,430,3.38,1.96,0.48,2.05,0.85,11.8,,12.5,2.222,2,0.08,47,3.03,900,455,1355,1.98
Run009.mca,119.952,9/12/2026 19:43,10.003344,9.84 x 1.0166,2419,2418,1024,120.7780596,123.3988701,216.1755635,170,0.270354583,0.204289534,0.454666419,-0.010401471,0.001318345,0.010401471,0.001318345,-0.319960379,0.224486016,96.14024377,12.18539578,1-sigma propagated from slope standard error,Run009_analysis.png,ok,csd_1789267565,5.71E-05,52.585,2.038203996,0.000175562,56.897,2.346812272,1.58E-06,60.523,2.691591692,3.42E-06,65.517,2.995335093,4.18E-06,75.983,4.286730048,1.95E-06,86.414,5.566974572,0.000108739,99.972,7.521294067,,,19:46:05,185,142,150,430,3.38,1.96,0.48,2.05,0.88,11.8,,12.5,2.163,2,0.066,47,3,1122,227,1349,4.94
Run010.mca,119.892,9/12/2026 19:47,10.003344,9.84 x 1.0166,2271,2269,1024,121.8263838,151.703624,186.8224854,66,0.241453316,0.267546103,0.525268425,-0.028062384,0.006217405,0.028062384,0.006217405,2.502456372,1.055346926,35.63489141,7.895143396,1-sigma propagated from slope standard error,Run010_analysis.png,ok,csd_1789267763,6.94E-05,52.582,2.038001859,0.000193764,56.975,2.354518981,1.52E-06,60.52,2.691409227,3.07E-06,65.513,2.995091806,3.90E-06,75.918,4.279012676,1.88E-06,86.41,5.566397992,0.000103861,100.059,7.533834692,,,19:49:23,185,142,150,430,3.38,1.96,0.48,2.05,0.917,11.8,,12.5,2.134,2,0.068,41,3.03,1223,123,1346,9.94
