file,livetime,start_time,number,date,time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run01.mca,92.962,5/20/2025 2:07,45797.09,5/20/2025,2:07:20 AM,9.998424,9.84 x 1.0161,4858,11215,1024,141.2203819,145.4136787,249.1977764,199,0.36925515,0.131541096,0.364522343,-0.009216044,0.000858173,0.009216044,0.000858173,1.303743902,0.171282911,108.5064219,10.1038271,1-sigma propagated from slope standard error,Run01_analysis.png,ok
Run03.mca,90.007,5/20/2025 3:03,45797.13,5/20/2025,3:03:24 AM,9.998424,9.84 x 1.0161,4168,9819,1024,148.0344893,151.703624,249.7219385,188,0.283227042,0.149420635,0.388622321,-0.008541913,0.000996373,0.008541913,0.000996373,1.105329326,0.201983378,117.0697969,13.65563313,1-sigma propagated from slope standard error,Run03_analysis.png,ok
Run04.mca,90.027,5/20/2025 3:08,45797.13,5/20/2025,3:08:17 AM,9.998424,9.84 x 1.0161,6732,15099,1024,133.8821123,135.9787608,249.7219385,218,0.446033474,0.081441761,0.286698188,-0.007763161,0.000588667,0.007763161,0.000588667,1.4252122,0.115173319,128.8135006,9.767705167,1-sigma propagated from slope standard error,Run04_analysis.png,ok
Run05.mca,90.02,5/20/2025 3:12,45797.13,5/20/2025,3:12:28 AM,9.998424,9.84 x 1.0161,9448,21187,1024,143.8411924,147.5103272,249.7219385,196,0.508568541,0.06747341,0.26109196,-0.008910133,0.00062884,0.008910133,0.00062884,1.983311886,0.126282404,112.2317725,7.920848152,1-sigma propagated from slope standard error,Run05_analysis.png,ok
Run06.mca,93.956,5/20/2025 3:18,45797.14,5/20/2025,3:18:08 AM,9.998424,9.84 x 1.0161,2369,5353,1024,145.9378408,151.703624,249.1977764,183,0.302568824,0.242686375,0.495346336,-0.011480825,0.001295604,0.011480825,0.001295604,1.008694408,0.261597403,87.10175107,9.829381424,1-sigma propagated from slope standard error,Run06_analysis.png,ok
Run07.mca,90.004,5/20/2025 3:27,45797.14,5/20/2025,3:27:04 AM,9.998424,9.84 x 1.0161,4364,10074,1024,144.8895166,146.9861651,236.6178858,172,0.322094729,0.140454741,0.37697102,-0.009926117,0.001104454,0.009926117,0.001104454,1.363117347,0.213777719,100.7443275,11.20956702,1-sigma propagated from slope standard error,Run07_analysis.png,ok
Run08.mca,91.003,5/20/2025 3:31,45797.15,5/20/2025,3:31:55 AM,9.998424,9.84 x 1.0161,3953,10021,1024,139.1237334,153.2761104,249.7219385,184,0.39636087,0.159993015,0.402183018,-0.011618617,0.001062826,0.011618617,0.001062826,1.649113951,0.215961096,86.06876093,7.873234054,1-sigma propagated from slope standard error,Run08_analysis.png,ok
Run09.mca,92.003,5/20/2025 3:36,45797.15,5/20/2025,3:36:27 AM,9.998424,9.84 x 1.0161,4176,10740,1024,145.9378408,148.0344893,249.7219385,194,0.31642144,0.182099248,0.428947684,-0.009889006,0.001048971,0.009889006,0.001048971,1.331092356,0.21060911,101.1224015,10.72649972,1-sigma propagated from slope standard error,Run09_analysis.png,ok
Run10.mca,90.006,5/20/2025 3:41,45797.15,5/20/2025,3:41:28 AM,9.998424,9.84 x 1.0161,4427,9962,1024,128.6404912,151.1794619,249.7219385,187,0.400505871,0.136231869,0.371085766,-0.010629557,0.000956131,0.010629557,0.000956131,1.546172437,0.193122891,94.07729357,8.462271888,1-sigma propagated from slope standard error,Run10_analysis.png,ok
Run11.mca,112.78,5/20/2025 3:46,45797.16,5/20/2025,3:46:25 AM,9.998424,9.84 x 1.0161,5905,12815,1024,148.5586514,150.6552998,247.6252901,186,0.398079761,0.092761154,0.306217941,-0.008800695,0.000797797,0.008800695,0.000797797,1.275914801,0.160452317,113.6273871,10.30050537,1-sigma propagated from slope standard error,Run11_analysis.png,ok
Run12.mca,98.929,5/20/2025 3:52,45797.16,5/20/2025,3:52:43 AM,9.998424,9.84 x 1.0161,4357,9913,1024,145.4136787,154.3244346,245.0044795,174,0.307304461,0.161955253,0.40476963,-0.010181076,0.001165511,0.010181076,0.001165511,1.380469363,0.234725429,98.2214453,11.24420773,1-sigma propagated from slope standard error,Run12_analysis.png,ok
Run13.mca,92.966,5/20/2025 4:22,45797.18,5/20/2025,4:22:04 AM,9.998424,9.84 x 1.0161,3647,8438,1024,126.5438428,134.9304365,247.6252901,216,0.368730012,0.142203178,0.378856411,-0.008818145,0.000788721,0.008818145,0.000788721,0.924058478,0.153051419,113.4025378,10.14306514,1-sigma propagated from slope standard error,Run13_analysis.png,ok
Run14.mca,93.945,5/20/2025 4:34,45797.19,5/20/2025,4:34:40 AM,9.998424,9.84 x 1.0161,2932,7014,1024,140.6962197,142.7928682,248.6736143,202,0.283227585,0.224712673,0.476402981,-0.00970082,0.00109123,0.00970082,0.00109123,0.856264536,0.216041939,103.0840688,11.59576543,1-sigma propagated from slope standard error,Run14_analysis.png,ok
Run15.mca,92.983,5/20/2025 4:53,45797.20,5/20/2025,4:53:22 AM,9.998424,9.84 x 1.0161,2446,6128,1024,147.5103272,159.0418936,236.0937237,146,0.349687368,0.210595109,0.462082288,-0.015138259,0.001720346,0.015138259,0.001720346,1.743039477,0.341280862,66.05779531,7.506957412,1-sigma propagated from slope standard error,Run15_analysis.png,ok
Run16.mca,91.035,5/20/2025 5:25,45797.23,5/20/2025,5:25:56 AM,9.998424,9.84 x 1.0161,4120,9075,1024,142.7928682,152.2277862,248.1494522,183,0.404545741,0.13991465,0.376112574,-0.011103719,0.001001312,0.011103719,0.001001312,1.562690187,0.202158679,90.0599153,8.121432385,1-sigma propagated from slope standard error,Run16_analysis.png,ok
