file,date,time,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq
csd_1760396285,2025-10-13,22:58:08,1.02448e-05,52.281,2.017720724907063,5.37768e-05,55.997,2.2681017657992566,0.000217783,60.547,2.693051411521689,4.54004e-05,68.882,3.2,0.00025258,73.692,4.014722371005177,0.000128716,84.608,5.310765934654527,4.70117e-05,103.293,8.0
csd_1760396805,2025-10-13,23:06:48,1.36928e-05,52.195,2.0119261152416357,6.51173e-05,55.835,2.2571863382899626,0.000259894,60.548,2.6931122331879735,5.31567e-05,68.884,3.2003414425949632,0.000269961,73.694,4.014959828602036,0.000150662,84.772,5.3302882902337645,6.66913e-05,103.295,8.0
csd_1760397218,2025-10-13,23:13:42,1.20399e-05,51.844,1.9886740870923645,6.44522e-05,55.998,2.2681691449814125,0.000216348,60.321,2.6793057149414734,4.2192e-05,69.017,3.22304737516005,0.000252582,73.632,4.007598643099447,0.000148475,84.826,5.338072126545375,5.12649e-06,104.789,8.0
csd_1760397653,2025-10-13,23:20:56,2.33456e-05,51.932,1.9944021349996746,0.000113054,55.916,2.2626440520446094,0.000193369,60.473,2.6885506082166626,3.82839e-05,68.818,3.1961074133578147,0.000258604,73.632,4.007598643099447,0.000141132,84.826,5.338072126545375,3.495e-06,104.789,8.0
csd_1760398287,2025-10-13,23:31:30,3.93277e-06,52.369,2.023650092936803,2.48339e-05,55.751,2.251526486988847,0.000179434,60.396,2.683867339912784,5.34875e-05,69.015,3.222705932565087,0.000309075,73.443,3.9786598378147673,0.000156818,84.77,5.33,7.51847e-05,103.469,8.0
csd_1760398673,2025-10-13,23:37:57,1.6538e-06,52.542,2.035306691449814,1.57534e-06,55.75,2.2514591078066912,2.61371e-05,60.394,2.683745696580216,2.323e-05,68.814,3.195864126692678,0.000122591,73.628,4.007123727905731,0.000140763,84.552,5.304117121942512,9.70431e-05,103.423,8.0
csd_1760399493,2025-10-13,23:51:36,8.98053e-06,52.37,2.023717472118959,4.77938e-05,56.08,2.2736942379182152,0.00020788,60.473,2.6885506082166626,5.46509e-05,68.884,3.2003414425949632,0.000249372,73.756,4.022321014104625,0.00014331,84.61,5.311003392251385,5.13542e-05,103.384,8.0
csd_1760400281,2025-10-14,00:04:45,9.00969e-06,52.022,2.000269516728624,4.94134e-05,56.082,2.273828996282528,0.000207221,60.551,2.693294698186826,4.1082e-05,68.888,3.2010243277848915,0.000232435,73.635,4.007954829494734,0.000130721,84.722,5.324301017675415,4.8744e-05,103.345,8.0
csd_1760400702,2025-10-14,00:11:46,1.14846e-05,52.014,1.9997396341860312,8.34211e-05,55.747,2.251256970260223,0.000177175,60.315,2.6789407849437685,7.19135e-05,68.943,3.2104139991463927,0.000336307,73.686,4.014009998214606,0.000113676,84.817,5.33677482049344,6.30324e-05,103.373,8.0
csd_1760401922,2025-10-14,00:32:06,1.00801e-05,52.542,2.035306691449814,1.24108e-05,56.483,2.3059074362974514,0.000221686,60.014,2.654784191367655,4.62352e-05,69.013,3.222364489970124,0.000243621,73.504,3.989073836961162,0.000132902,84.929,5.352919073584194,5.0706e-05,103.201,7.986738649246881
csd_1760403626,2025-10-14,01:00:29,1.30406e-05,52.457,2.0295794609665427,6.35427e-05,55.916,2.2626440520446094,0.000237929,60.397,2.683928161579068,4.88047e-05,69.083,3.234314980793853,0.000217624,73.507,3.9895860008536075,0.000126337,84.772,5.3302882902337645,5.19611e-05,103.384,8.0
