file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run100.mca,118.668,10/23/2025 03:21:26,9.993504,9.84 x 1.0156,2438,2411,1024,119.20557325960495,194.6849170264946,222.9896709390782,38,0.23672999603222555,0.15611792477105663,0.4059447534011163,-0.025946794245268676,0.007765061679240473,0.025946794245268676,0.007765061679240473,3.018125556682483,1.621044651727748,38.540406593093756,11.533934847961033,1-sigma propagated from slope standard error,Run100_analysis.png,ok
Run101.mca,118.932,10/23/2025 03:32:42,9.993504,9.84 x 1.0156,7439,7373,1024,107.67400685077459,110.29481739823603,229.27961625298568,227,0.4366346763587441,0.18240692882315215,0.42898522555680707,-0.010939351554162258,0.0008283927026165701,0.010939351554162258,0.0008283927026165701,0.4547947845292014,0.14330197773567027,91.41309656690895,6.922342859600178,1-sigma propagated from slope standard error,Run101_analysis.png,ok
Run102.mca,118.908,10/23/2025 03:43:35,9.993504,9.84 x 1.0156,7513,7445,1024,107.1498447412823,109.24649317925146,249.72193852318495,256,0.4373590790751447,0.18755900772345924,0.4347825321973721,-0.009502746517042438,0.0006762836233893771,0.009502746517042438,0.0006762836233893771,0.21395901748310156,0.12282117217127782,105.23273436859309,7.489116411800648,1-sigma propagated from slope standard error,Run102_analysis.png,ok
Run103.mca,118.488,10/23/2025 03:55:57,9.993504,9.84 x 1.0156,6854,6768,1024,102.95654786534399,105.05319630331314,249.19777641369265,262,0.3864083844745294,0.23539973999988154,0.4870426133621676,-0.009426005217377112,0.0007366436328563353,0.009426005217377112,0.0007366436328563353,0.05291701827733511,0.13185019505991896,106.08948084990142,8.290907842597196,1-sigma propagated from slope standard error,Run103_analysis.png,ok
Run104.mca,114.06,10/23/2025 04:16:33,9.993504,9.84 x 1.0156,767,729,1024,135.4545986538659,142.26870607726568,180.00837796071048,21,0.9988692114508704,2.2764302392262086e-05,0.005016028782746597,0.012064156851874591,9.312291499592444e-05,-0.012064156851874591,9.312291499592444e-05,-5.327319390584298,0.015059469234754127,-82.89016897559773,0.6398270724002554,1-sigma propagated from slope standard error,Run104_analysis.png,ok
Run105.mca,115.056,10/23/2025 04:22:20,9.993504,9.84 x 1.0156,1822,1747,1024,80.41757715717556,147.51032717218857,231.37626469095483,26,0.5735162296866758,0.035929138729198,0.19728972001424158,0.011107026262317105,0.0019551072049616225,-0.011107026262317105,0.0019551072049616225,-5.133264134421271,0.33255527000966373,-90.03309944379153,15.848018835138827,1-sigma propagated from slope standard error,Run105_analysis.png,ok
Run106.mca,117.792,10/23/2025 04:31:44,9.993504,9.84 x 1.0156,3917,3845,1024,92.99746778499049,109.24649317925146,230.32794047197024,176,0.2928645519522075,0.2489384558746223,0.5017965897018428,-0.01035766232196335,0.0012201269620485931,0.01035766232196335,0.0012201269620485931,-0.6946604484472615,0.19661200443639018,96.54688180744289,11.373169923215874,1-sigma propagated from slope standard error,Run106_analysis.png,ok
Run107.mca,118.86,10/23/2025 04:41:14,9.993504,9.84 x 1.0156,6468,6407,1024,116.06060060265122,118.15724904062037,249.72193852318495,225,0.3829133808501328,0.21411779099290473,0.46479902100324666,-0.01000372943429504,0.000850417715697824,0.01000372943429504,0.000850417715697824,-0.017468299437707915,0.15488619703608658,99.96271956054454,8.4978375496829,1-sigma propagated from slope standard error,Run107_analysis.png,ok
Run108.mca,118.884,10/23/2025 04:51:16,9.993504,9.84 x 1.0156,7524,7454,1024,129.16465333995845,131.7854638874199,247.6252900852158,217,0.3631615533936099,0.2049720986178645,0.45483932966962054,-0.010287208292374646,0.0009290583866062586,0.010287208292374646,0.0009290583866062586,0.38683623440373194,0.17798663692460065,97.20810268236195,8.779058465266436,1-sigma propagated from slope standard error,Run108_analysis.png,ok
Run109.mca,96.936,10/23/2025 05:04:16,9.993504,9.84 x 1.0156,1478,1194,1024,121.30222169757411,154.8485967050806,177.38756741324903,30,0.08043971491918167,0.25449099769841727,0.5221771022416122,-0.02288513268529942,0.014622756927423689,0.02288513268529942,0.014622756927423689,1.2240764925734133,2.4212733469934524,43.696491243957865,27.920448564938415,1-sigma propagated from slope standard error,Run109_analysis.png,ok
