file,date,time,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq
csd_1747731000,5/20/2025,8:50:02,2.42E-06,48.208,1.752001562,6.15E-05,66.882,3.078356667,0.000270702,71.427,3.634485702,0.000790998,76.945,4.400947152,2.53E-05,78.451,4.579752723,0.000655471,84.029,5.24202196,0.000280879,107.672,8
csd_1747735272,5/20/2025,10:01:16,2.57E-06,47.446,1.702401875,2.49E-05,66.115,3.031706449,0.000139182,71.431,3.635168587,0.000534192,76.854,4.390142832,1.79E-05,78.268,4.558025353,0.000511845,83.685,5.201179254,0.000370196,107.745,8
csd_1747735546,5/20/2025,10:05:49,2.52E-06,46.352,1.631191825,7.04E-05,66.553,3.058346339,0.000302844,71.017,3.56448997,0.000838065,76.373,4.33303428,2.73E-05,78.73,4.612878057,0.000696402,84.029,5.24202196,0.000278852,107.807,8
csd_1747735794,5/20/2025,10:09:57,2.54E-06,46.511,1.641541366,0.000111717,66.225,3.038396833,0.00042206,71.327,3.617413572,0.000990408,76.948,4.401303339,3.06E-05,78.266,4.557787895,0.000720358,83.771,5.21138993,0.000263096,107.607,8
csd_1747736046,5/20/2025,10:14:08,2.72E-06,46.509,1.641411183,0.000112037,66.99,3.084925407,0.000404273,71.221,3.599317115,0.000949115,76.849,4.389549188,3.19E-05,78.728,4.6126406,0.000621564,83.767,5.210915015,0.000269832,107.534,8
csd_1747736395,5/20/2025,10:19:59,2.70E-06,47.134,1.682093341,2.53E-05,66.553,3.058346339,0.000142743,71.222,3.599487836,0.000545454,76.755,4.378388681,1.83E-05,78.637,4.601836279,0.000480084,83.768,5.211033744,0.000361521,107.468,8
csd_1747736924,5/20/2025,10:28:47,2.58E-06,47.752,1.722319859,6.40E-05,65.559,2.997889603,0.000306081,70.813,3.529662825,0.000919839,76.28,4.321992501,2.64E-05,78.825,4.624157293,0.00072858,84.032,5.242378147,0.000314021,107.879,8
csd_1747737214,5/20/2025,10:33:36,2.94E-06,47.289,1.692182516,5.62E-05,65.891,3.018082396,0.000296575,70.81,3.529150662,0.000921864,76.277,4.321636315,2.36E-05,78.637,4.601836279,0.00073533,84.029,5.24202196,0.00036574,107.604,8
csd_1747737485,5/20/2025,10:38:07,3.54E-06,46.037,1.610688017,4.21E-05,66.554,3.058407161,0.000257529,71.428,3.634656423,0.000879777,76.851,4.389786645,2.17E-05,78.265,4.557669166,0.000741772,83.682,5.200823067,0.000443824,107.606,8
csd_1747737785,5/20/2025,10:43:08,2.58E-06,47.291,1.692312699,8.52E-05,66.114,3.031645628,0.000317473,71.224,3.599829279,0.000816974,76.757,4.378626138,2.84E-05,78.266,4.557787895,0.000653186,83.858,5.221719336,0.000252988,107.539,8
csd_1747738107,5/20/2025,10:48:30,1.98E-06,47.29,1.692247608,2.11E-05,65.335,2.98426555,8.90E-05,66.664,3.065097544,7.52E-05,66.883,3.078417489,0.000660602,76.851,4.389786645,0.000498496,83.595,5.190493662,0.00014272,107.061,8
csd_1747738503,5/20/2025,10:55:06,2.45E-06,47.444,1.702271692,4.44E-05,66.224,3.038336011,0.000170639,70.812,3.529492104,0.000463763,76.565,4.355830209,1.52E-05,78.638,4.601955008,0.000282073,83.682,5.200823067,0.00020004,107.741,8
csd_1747740225,5/20/2025,11:23:48,2.64E-06,46.665,1.651565449,3.91E-05,66.11,3.031402341,0.000157401,70.911,3.546393513,0.000463997,76.371,4.332796822,1.56E-05,78.727,4.612521871,0.000394965,83.94,5.231455097,0.000215163,107.668,8
csd_1747740982,5/20/2025,11:36:25,1.67E-06,46.353,1.631256916,3.60E-05,66.444,3.051716778,0.000149485,71.018,3.564660691,0.000462258,76.756,4.378507409,1.56E-05,78.545,4.59091323,0.000405007,83.595,5.190493662,0.000265637,107.673,8
csd_1747742105,5/20/2025,11:55:08,2.24E-06,47.906,1.732343943,2.53E-05,66.226,3.038457654,0.000108899,70.917,3.54741784,0.000367721,76.472,4.344788431,1.31E-05,78.547,4.591150687,0.000358568,83.859,5.221838065,0.000278469,108.151,8
csd_1747744054,5/20/2025,12:27:37,2.61E-06,47.599,1.712360867,4.27E-05,66.665,3.065158366,0.000161266,71.019,3.564831413,0.000451518,76.567,4.356067666,1.53E-05,78.639,4.602073737,0.000382596,83.858,5.221719336,0.000202605,107.743,8
csd_1747807959,5/21/2025,6:12:43,9.63E-06,47.444,1.702271692,4.98E-05,66.554,3.058407161,0.000245207,70.708,3.511737089,0.001008,76.756,4.378507409,5.47E-05,78.265,4.557669166,2.28E-06,85.24,5.397748205,8.99E-05,107.47,8
