file,livetime,date,time,spectral_temperature,spectral_temperature_error,datetime,Run,Inj (A),Extr (A),Cent (A),Sext (A),Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),Oxygen %,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,14 GHz,total
Run01.mca,92.962,5/20/2025,2:07:20 AM,108.5064219,10.1038271,5/20/2025 2:07,1,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.27,8.76,19.99,6.807,2,0.149,43,14.73,2002,302,0,2304
Run03.mca,90.007,5/20/2025,3:03:24 AM,117.0697969,13.65563313,5/20/2025 3:03,3,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.35,8.76,19.99,7.09,2,0.191,43,15.73,1994,0,0,1994
Run04.mca,90.027,5/20/2025,3:08:17 AM,128.8135006,9.767705167,5/20/2025 3:08,4,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.33,8.76,19.99,7.509,2,0.137,43,15.89,3005,0,0,3005
Run05.mca,90.02,5/20/2025,3:12:28 AM,112.2317725,7.920848152,5/20/2025 3:12,5,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.41,8.76,19.99,7.662,2,0.28,43,20.96,4021,0,0,4021
Run06.mca,93.956,5/20/2025,3:18:08 AM,87.10175107,9.829381424,5/20/2025 3:18,6,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.29,8.76,19.99,5.258,2,0.117,43,12.48,1007,0,0,1007
Run07.mca,90.004,5/20/2025,3:27:04 AM,100.7443275,11.20956702,5/20/2025 3:27,7,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.43,9.08,19.99,7.271,2,0.224,43,16.36,2005,0,0,2005
Run08.mca,91.003,5/20/2025,3:31:55 AM,86.06876093,7.873234054,5/20/2025 3:31,8,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.65,9.38,19.99,8.178,2,0.484,43,17.83,1993,0,0,1993
Run09.mca,92.003,5/20/2025,3:36:27 AM,101.1224015,10.72649972,5/20/2025 3:36,9,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.82,9.58,19.99,9,2,0.666,43,19.9,1995,0,0,1995
Run10.mca,90.006,5/20/2025,3:41:28 AM,94.07729357,8.462271888,5/20/2025 3:41,10,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,1.17,8.51,19.99,6.45,2,0.079,43,14.05,1993,0,0,1993
Run11.mca,112.78,5/20/2025,3:46:25 AM,113.6273871,10.30050537,5/20/2025 3:46,11,184.03,149.02,147.01,440,3.37,2.06,0.53,2.1,0.97,8.13,19.99,5.01,2,0.015,43,11.36,2008,0,0,2008
