Date,Time,Detector,Comments,Action,Run,CSD,Inj (A),Extr (A),Cent (A),Sext (A),Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),Oxygen %,Xenon %,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,Total Power,28/18 Ratio,csd_name,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq,file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
9/19/2026,2:48:00 PM,CdTe,"28 GHz fields, tuned up big stable O6+",preset time 300 seconds,1,,185,142,150,430,3.38,1.96,0.48,2.05,0.674,8.6,,12.5,1.8,2.2,0.002,30,2.6,2494,988,3482,2.52,,,,,,,,,,,,,,,,,,,,,,,Run001.mca,299.97,9/19/2026 14:42,10.003344,9.84 x 1.0166,13767,13766,1024,,122.3505459,216.1755635,180,0.528552617,0.073744237,0.273080252,-0.010557248,0.000747331,0.010557248,0.000747331,0.577696344,0.128122714,94.72165138,6.70520038,1-sigma propagated from slope standard error,Run001_analysis.png,ok
9/19/2026,5:04:00 PM,,,"B fields to match Janilee, preset time 600 seconds",2,,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.703,9.4,,12.5,1.75,2,0.028,24,1.94,2513,998,3511,2.52,,,,,,,,,,,,,,,,,,,,,,,Run002.mca,599.46,9/19/2026 16:53,10.003344,9.84 x 1.0166,30202,30175,1024,,131.2613018,227.7071299,185,0.821306867,0.030836258,0.176559528,-0.013448977,0.00046373,0.013448977,0.00046373,1.145905216,0.084238333,74.35509789,2.563813376,1-sigma propagated from slope standard error,Run002_analysis.png,ok
9/19/2026,5:13:25 PM,,total power 640 W,,3,17:23:16,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.594,10.5,,12.5,1.661,2,0.02,27,1.19,59,587,646,0.1,csd_1789863796,5.14E-05,53.109,2.073510688,0.000196723,57.542,2.410540822,4.03E-06,58.894,2.544123765,3.16E-06,66.008,3.025198531,4.04E-06,76.528,4.351437243,0.000147849,81.959,4.996253348,0.000126295,100.707,7.627240728,Run003.mca,599.1,9/19/2026 17:13,10.003344,9.84 x 1.0166,4032,4026,1024,,128.1163291,187.3466475,114,0.236639464,0.152370734,0.393816759,-0.012599879,0.002138349,0.012599879,0.002138349,-1.137751136,0.339295777,79.36584206,13.46932657,1-sigma propagated from slope standard error,Run003_analysis.png,ok
9/19/2026,5:26:02 PM,,,,4,17:37:18,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.563,10.5,,12.5,2.04,2,0.02,32,1.75,105,539,644,0.19,csd_1789864638,5.56E-05,53.11,2.073578067,0.000227642,57.463,2.402735309,1.41E-06,60.98,2.719387193,4.30E-06,66.08,3.029577691,5.06E-06,76.53,4.351674701,0.000172981,81.905,4.989841993,0.000116857,100.71,7.627673163,Run004.mca,599.88,9/19/2026 17:25,10.003344,9.84 x 1.0166,4522,4521,1024,,128.6404912,192.0641065,122,0.235768728,0.211292866,0.463480758,-0.013830977,0.002273168,0.013830977,0.002273168,-0.805401037,0.366915057,72.30147002,11.88299206,1-sigma propagated from slope standard error,Run004_analysis.png,ok
9/19/2026,5:39:06 PM,,,,5,17:52:21,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.55,10.5,,12.5,1.87,2,0.021,32,1.78,213,432,645,0.49,csd_1789865541,3.97E-05,53.112,2.073712825,0.000205336,57.465,2.402932917,1.31E-06,60.982,2.719508836,4.64E-06,66.011,3.025380996,5.47E-06,76.531,4.35179343,1.05E-06,86.95,5.644236355,0.000119032,100.666,7.621330778,Run005.mca,599.16,9/19/2026 17:39,10.003344,9.84 x 1.0166,4877,4870,1024,,133.3579502,211.4581045,149,0.370486005,0.173427874,0.419270124,-0.014036062,0.001509049,0.014036062,0.001509049,-0.640177236,0.262342872,71.24505455,7.659719168,1-sigma propagated from slope standard error,Run005_analysis.png,ok
9/19/2026,5:53:33 PM,,,,6,18:06:40,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.556,10.5,,12.5,1.821,2,0.029,32,1.78,274,369,643,0.74,csd_1789866400,3.41E-05,53.112,2.073712825,0.000181764,57.465,2.402932917,4.95E-06,58.897,2.544420177,4.56E-06,66.011,3.025380996,5.41E-06,76.531,4.35179343,0.000182041,81.907,4.99007945,0.000123449,100.62,7.614700103,Run006.mca,599.64,9/19/2026 17:53,10.003344,9.84 x 1.0166,4971,4968,1024,,138.5995713,214.6030772,146,0.365034424,0.22698682,0.47972848,-0.016352135,0.001797221,0.016352135,0.001797221,-0.235566047,0.319865118,61.15409293,6.721287348,1-sigma propagated from slope standard error,Run006_analysis.png,ok
9/19/2026,6:08:25 PM,,,,7,18:19:00,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.543,11,,12.5,1.9,2,0.028,38,2.06,317,322,639,0.98,csd_1789867140,3.91E-05,53.109,2.073510688,0.000185197,57.381,2.394633385,5.07E-06,58.815,2.536318253,4.57E-06,66.008,3.025198531,5.46E-06,76.528,4.351437243,1.06E-06,86.999,5.651299466,0.000118161,100.661,7.620610052,Run007.mca,599.88,9/19/2026 18:08,10.003344,9.84 x 1.0166,5082,5081,1024,,122.3505459,213.554753,172,0.389422779,0.20177425,0.451827472,-0.013521905,0.001298593,0.013521905,0.001298593,-0.738353633,0.220352931,73.95407541,7.102271561,1-sigma propagated from slope standard error,Run007_analysis.png,ok
9/19/2026,6:21:00 PM,,,,8,18:31:09,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.58,11,,12.5,1.786,2,0.031,38,1.85,422,216,638,1.95,csd_1789867869,4.18E-05,53.11,2.073578067,0.000177225,57.463,2.402735309,4.11E-06,58.895,2.544222569,4.12E-06,66.009,3.025259353,4.93E-06,76.469,4.344432244,0.000173973,81.905,4.989841993,0.000120266,100.664,7.621042488,Run008.mca,598.56,9/19/2026 18:20,10.003344,9.84 x 1.0166,5327,5314,1024,,121.3022217,215.1272393,180,0.475796699,0.163116714,0.406139737,-0.014127628,0.001111472,0.014127628,0.001111472,-0.544622425,0.189400743,70.78328855,5.568777915,1-sigma propagated from slope standard error,Run008_analysis.png,ok
9/19/2026,6:32:21 PM,,,,9,18:43:17,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.595,11,,12.5,1.774,2,0.024,38,1.9,530,107,637,4.95,csd_1789868597,4.83E-05,53.11,2.073578067,0.000194784,57.383,2.394830993,4.15E-06,58.895,2.544222569,3.69E-06,66.009,3.025259353,4.72E-06,76.53,4.351674701,0.000173303,81.848,4.983074451,0.000121148,100.664,7.621042488,Run009.mca,599.76,9/19/2026 18:32,10.003344,9.84 x 1.0166,5070,5068,1024,,127.592167,215.1272393,166,0.386249573,0.192093458,0.440949046,-0.01376816,0.001355239,0.01376816,0.001355239,-0.690704492,0.234153176,72.63134419,7.149308792,1-sigma propagated from slope standard error,Run009_analysis.png,ok
9/19/2026,6:45:44 PM,,,,10,18:55:52,188.35,135.74,155.18,440,3.43,1.86,0.43,2.1,0.616,11,,12.5,1.78,2,0.03,38,1.91,593,49,642,12.1,csd_1789869352,5.32E-05,53.113,2.073780204,0.000196586,57.386,2.395127405,3.96E-06,58.898,2.544518981,3.54E-06,66.013,3.025502639,4.50E-06,76.473,4.344907159,0.000164934,81.909,4.990316908,0.000120658,100.669,7.621763213,Run010.mca,598.68,9/19/2026 18:45,10.003344,9.84 x 1.0166,5056,5045,1024,,131.7854639,212.5064287,154,0.338144695,0.182543108,0.430052311,-0.013043388,0.001480127,0.013043388,0.001480127,-0.787722175,0.256869101,76.6671961,8.699975394,1-sigma propagated from slope standard error,Run010_analysis.png,ok
