Instructions:,,INJ,MID,EXT,SEXT (460A),Sum (G),Z,Sum (T),,,,,Originals:,Inj(185A),Mid(-146),Ext(152),Sextupoles(460),Sum(185+152+-146),,,Becr (18 GHz),Becr (28 GHz),,,
Enter desired currents.,,18.43110684,-0.948242681,0.724032375,0.000565649,18.20746218,-100,0.001820746,,,,,(Do Not Alter!),28.65340139,-1.730542893,1.209372758,0.000565649,28.1327969,,,0.64,1,,,
Injection (A):,119,20.23859003,-1.038494438,0.786478232,0.000605266,19.98717909,-99,0.001998718,,,,,,31.46335425,-1.89525235,1.313677926,0.000605266,30.88238509,,,0.64,1,,,
Center,-80,22.04607323,-1.128746196,0.848924089,0.000644883,21.766896,-98,0.00217669,,,,,,34.27330712,-2.059961808,1.417983094,0.000644883,33.63197329,,,0.64,1,,,
Extraction,91,23.85355642,-1.218997953,0.911369947,0.000684499,23.54661291,-97,0.002354661,,,,,,37.08325998,-2.224671265,1.522288263,0.000684499,36.38156148,,,0.64,1,,,
,,25.66103962,-1.309249711,0.973815804,0.000724116,25.32632983,-96,0.002532633,Max Field @ Injection:,2.204,Tesla,,,39.89321285,-2.389380723,1.626593431,0.000724116,39.13114967,,,0.64,1,,,
,,27.46852281,-1.399501469,1.036261661,0.000763732,27.10604674,-95,0.002710605,Max Field @ Extraction:,1.307,Tesla,,,42.70316572,-2.554090181,1.730898599,0.000763732,41.88073787,,,0.64,1,,,
,,29.27600601,-1.489753226,1.098707519,0.000803349,28.88576365,-94,0.002888576,Min Field @ Center:,0.375,Tesla,,,45.51311858,-2.718799638,1.835203768,0.000803349,44.63032606,,,0.64,1,,,
,,31.0834892,-1.580004984,1.161153376,0.000842965,30.66548056,-93,0.003066548,,,,,,48.32307145,-2.883509096,1.939508936,0.000842965,47.37991426,,,0.64,1,,,
,,32.8909724,-1.670256741,1.223599234,0.000882582,32.44519747,-92,0.00324452,,,,,,51.13302432,-3.048218553,2.043814105,0.000882582,50.12950245,,,0.64,1,,,
,,35.3701048,-1.794782503,1.309091003,0.000903663,34.88531697,-91,0.003488532,,,,,,54.98713772,-3.275478068,2.186613543,0.000903663,53.89917686,,,0.64,1,,,
,,40.27172717,-2.042927008,1.477704271,0.000857892,39.70736233,-90,0.003970736,,B/Becr 18,B/Becr 28,,,62.60730695,-3.728341789,2.468253287,0.000857892,61.34807634,,,0.64,1,,,
,,45.17334955,-2.291071512,1.646317538,0.000812121,44.5294077,-89,0.004452941,,3.428,2.204,,,70.22747619,-4.18120551,2.749893031,0.000812121,68.79697583,,,0.64,1,,,
,,50.07497192,-2.539216017,1.814930806,0.00076635,49.35145306,-88,0.004935145,,2.032,1.307,,,77.84764542,-4.634069231,3.031532775,0.00076635,76.24587532,,,0.64,1,,,
,,54.97659429,-2.787360521,1.983544074,0.00072058,54.17349843,-87,0.00541735,,0.583,0.375,,,85.46781466,-5.086932951,3.313172519,0.00072058,83.6947748,,,0.64,1,,,
,,59.87821666,-3.035505026,2.152157341,0.000674809,58.99554379,-86,0.005899554,,,,,,93.08798389,-5.539796672,3.594812262,0.000674809,91.14367429,,,0.64,1,,,
,,64.77983902,-3.28364953,2.320770609,0.000629038,63.81758914,-85,0.006381759,,,,,,100.7081531,-5.992660393,3.876452006,0.000629038,98.59257377,,,0.64,1,,,
,,69.68146144,-3.531794035,2.489383877,0.000583267,68.63963454,-84,0.006863963,,,,,,108.3283224,-6.445524114,4.15809175,0.000583267,106.0414733,,,0.64,1,,,
,,74.58308379,-3.779938539,2.657997144,0.000537496,73.46167989,-83,0.007346168,,,,,,115.9484916,-6.898387834,4.439731494,0.000537496,113.4903727,,,0.64,1,,,
,,79.48470614,-4.028083044,2.826610412,0.000491725,78.28372523,-82,0.007828373,,,,,,123.5686608,-7.351251555,4.721371238,0.000491725,120.9392722,,,0.64,1,,,
,,86.29138784,-4.374913391,3.061711592,0.000462274,84.97864832,-81,0.008497865,,,,,,134.1504769,-7.984216939,5.114067714,0.000462274,131.2807899,,,0.64,1,,,
,,97.00618149,-4.924191678,3.433208635,0.000466303,95.51566474,-80,0.009551566,,,,,,150.8079292,-8.986649813,5.734590248,0.000466303,147.556336,,,0.64,1,,,
,,107.7209752,-5.473469966,3.804705679,0.000470331,106.0526812,-79,0.010605268,,,,,,167.4653816,-9.989082688,6.355112782,0.000470331,163.831882,,,0.64,1,,,
,,118.4357689,-6.022748252,4.176202723,0.00047436,116.5896977,-78,0.01165897,,,,,,184.122834,-10.99151556,6.975635317,0.00047436,180.1074281,,,0.64,1,,,
,,129.1505626,-6.572026542,4.547699766,0.000478389,127.1267142,-77,0.012712671,,,,,,200.7802864,-11.99394844,7.596157851,0.000478389,196.3829742,,,0.64,1,,,
,,144.4084866,-7.359556553,5.079467524,0.000241606,142.1286392,-76,0.014212864,,,,,,224.5005884,-13.43119071,8.484385314,0.000241606,219.5540246,,,0.64,1,,,
,,166.9841332,-8.530844,5.869386944,-0.000383058,164.3222931,-75,0.016432229,,,,,,259.5971819,-15.5687903,9.803811159,-0.000383058,253.8318197,,,0.64,1,,,
,,189.5597799,-9.702131452,6.659306362,-0.001007722,186.5159471,-74,0.018651595,,,,,,294.6937755,-17.7063899,11.123237,-0.001007722,288.1096149,,,0.64,1,,,
,,212.1354265,-10.8734189,7.449225785,-0.001632386,208.709601,-73,0.02087096,,,,,,329.790369,-19.84398949,12.44266285,-0.001632386,322.38741,,,0.64,1,,,
,,234.7110732,-12.04470635,8.239145203,-0.00225705,230.903255,-72,0.023090326,,,,,,364.8869626,-21.98158909,13.76208869,-0.00225705,356.6652051,,,0.64,1,,,
,,272.6307801,-14.0180677,9.569465695,-0.003392988,268.1787851,-71,0.026817879,,,,,,423.8377674,-25.58297356,15.98416248,-0.003392988,414.2355633,,,0.64,1,,,
,,330.209986,-17.01908218,11.5921723,-0.005183994,324.7778921,-70,0.032477789,,,,,,513.3516589,-31.05982497,19.36274934,-0.005183994,501.6493993,,,0.64,1,,,
,,387.7891919,-20.02009664,13.61487891,-0.006975,381.3769991,-69,0.0381377,,,,,,602.8655504,-36.53667637,22.7413362,-0.006975,589.0632352,,,0.64,1,,,
,,464.7247649,-24.04901339,16.32891583,-0.009270431,456.9953969,-68,0.04569954,,,,,,722.4712732,-43.88944944,27.27467259,-0.009270431,705.8472259,,,0.64,1,,,
,,542.3412475,-28.11408923,19.06727205,-0.011583606,533.2828467,-67,0.053328285,,,,,,843.1355528,-51.30821285,31.84863024,-0.011583606,823.6643866,,,0.64,1,,,
,,634.994948,-32.97405739,22.33996836,-0.014606327,624.3462526,-66,0.062434625,,,,,,987.17702,-60.17765474,37.31511199,-0.014606327,964.2998709,,,0.64,1,,,
,,743.0709616,-38.64927466,26.16068894,-0.018356764,730.5640191,-65,0.073056402,,,,,,1155.194352,-70.53492625,43.69697494,-0.018356764,1128.338044,,,0.64,1,,,
,,852.6455949,-44.40372551,30.03451031,-0.022325682,838.254054,-64,0.083825405,,,,,,1325.541471,-81.03679906,50.1675337,-0.022325682,1294.64988,,,0.64,1,,,
,,1030.949785,-53.79198121,36.34363562,-0.036314542,1013.465125,-63,0.101346513,,,,,,1602.737061,-98.17036571,60.70585291,-0.036314542,1565.236234,,,0.64,1,,,
,,1185.303194,-62.15852986,41.94470415,-0.049501224,1165.039867,-62,0.116503987,,,,,,1842.698243,-113.439317,70.06148385,-0.049501224,1799.270908,,,0.64,1,,,
,,1410.167635,-73.911528,49.85420185,-0.054748809,1386.05556,-61,0.138605556,,,,,,2192.277416,-134.8885386,83.27295254,-0.054748809,2140.607081,,,0.64,1,,,
,,1685.302421,-88.21744729,59.54273254,0.003381566,1656.631088,-60,0.165663109,,,,,,2620.007965,-160.9968413,99.45599281,0.003381566,2558.470498,,,0.64,1,,,
,,1974.090253,-103.4055511,69.75734879,0.014623464,1940.456674,-59,0.194045667,,,,,,3068.963839,-188.7151308,116.5177694,0.014623464,2996.781101,,,0.64,1,,,
,,2305.871441,-120.9634995,81.4941209,-0.033823822,2266.368239,-58,0.226636824,,,,,,3584.758123,-220.7583866,136.1220481,-0.033823822,3500.087961,,,0.64,1,,,
,,2677.33334,-140.4723139,94.60194859,0.000586087,2631.46356,-57,0.263146356,,,,,,4162.240906,-256.3619729,158.0164416,0.000586087,4063.895961,,,0.64,1,,,
,,3093.36721,-162.3072341,109.2566828,0.050855511,3040.367514,-56,0.304036751,,,,,,4809.016251,-296.2107023,182.494679,0.050855511,4695.351084,,,0.64,1,,,
,,3552.594992,-186.3920482,125.2229468,-0.055692584,3491.370198,-55,0.34913702,,,,,,5522.941794,-340.1654879,209.1636035,-0.055692584,5391.884217,,,0.64,1,,,
,,4055.128092,-212.6244819,142.6993463,-0.034981387,3985.167975,-54,0.398516798,,,,,,6304.190732,-388.0396795,238.3549521,-0.034981387,6154.471024,,,0.64,1,,,
,,4582.180463,-239.6601798,160.6947477,0.064533915,4503.279564,-53,0.450327956,,,,,,7123.557862,-437.3798282,268.4132049,0.064533915,6954.655772,,,0.64,1,,,
,,5146.150746,-268.5722895,179.6579016,-0.040764925,5057.195593,-52,0.505719559,,,,,,8000.318387,-490.1444284,300.0879236,-0.040764925,7810.221117,,,0.64,1,,,
,,5733.613203,-298.1536376,199.0493376,-0.025920837,5634.482982,-51,0.563448298,,,,,,8913.600358,-544.1303887,332.4780145,-0.025920837,8701.922063,,,0.64,1,,,
,,6341.674448,-328.237209,218.6592535,0.029776775,6232.12627,-50,0.623212627,,,,,,9858.905655,-599.0329065,365.2330388,0.029776775,9625.135564,,,0.64,1,,,
,,6964.58145,-358.4119068,238.0834843,0.030694865,6844.283723,-49,0.684428372,,,,,,10827.29049,-654.10173,397.6779078,0.030694865,10570.89737,,,0.64,1,,,
,,7598.025815,-388.2707922,257.0484927,0.015446099,7466.818962,-48,0.746681896,,,,,,11812.05694,-708.5941958,429.3557241,0.015446099,11532.83392,,,0.64,1,,,
,,8240.290107,-417.5951416,275.4284558,0.042579962,8098.166001,-47,0.8098166,,,,,,12810.53504,-762.1111334,460.0563218,0.042579962,12508.5228,,,0.64,1,,,
,,8896.921159,-446.8245215,293.4387458,0.05197798,8743.587361,-46,0.874358736,,,,,,13831.34802,-815.4547517,490.1394435,0.05197798,13506.08469,,,0.64,1,,,
,,9566.038604,-475.7927113,310.9099996,0.029242428,9401.185135,-45,0.940118513,,,,,,14871.57262,-868.3216981,519.3221972,0.029242428,14522.60236,,,0.64,1,,,
,,10250.77955,-504.7342987,328.0339133,0.04452007,10074.12368,-44,1.007412368,,,,,,15936.08585,-921.1400951,547.9247783,0.04452007,15562.91506,,,0.64,1,,,
,,10952.66505,-533.7996534,344.8239973,0.057995011,10763.74739,-43,1.076374739,,,,,,17027.25239,-974.1843675,575.9697537,0.057995011,16629.09577,,,0.64,1,,,
,,11674.13953,-563.3843879,361.489336,0.048973603,11472.29345,-42,1.147229345,,,,,,18148.87238,-1028.176508,603.8063634,0.048973603,17724.55121,,,0.64,1,,,
,,12417.15452,-593.9120789,378.2966683,0.040386655,12201.5795,-41,1.22015795,,,,,,19303.97972,-1083.889544,631.8801493,0.040386655,18852.01071,,,0.64,1,,,
,,13180.48929,-625.5111255,395.2674698,0.036057559,12950.28169,-40,1.295028169,,,,,,20490.67663,-1141.557804,660.2269825,0.036057559,20009.38187,,,0.64,1,,,
,,13963.27411,-658.5695885,412.6185503,0.049813245,13717.37288,-39,1.371737288,,,,,,21707.61101,-1201.889499,689.2090071,0.049813245,21194.98034,,,0.64,1,,,
,,14762.32133,-693.4267529,430.4845698,0.054963069,14499.43411,-38,1.449943411,,,,,,22949.82727,-1265.503824,719.0511496,0.054963069,22403.42956,,,0.64,1,,,
,,15572.67514,-730.4554263,449.0515709,0.054389412,15291.32568,-37,1.529132568,,,,,,24209.62102,-1333.081153,750.0641623,0.054389412,23626.65842,,,0.64,1,,,
,,16387.6721,-769.9816225,468.4678397,0.057542004,16086.21585,-36,1.608621585,,,,,,25476.63309,-1405.216461,782.4957322,0.057542004,24853.9699,,,0.64,1,,,
,,17199.11727,-812.3007282,488.8316369,0.057990336,16875.70616,-35,1.687570616,,,,,,26738.12348,-1482.448829,816.5099869,0.057990336,26072.24263,,,0.64,1,,,
,,17997.26534,-857.7614093,510.2916132,0.060748041,17649.8563,-34,1.76498563,,,,,,27978.94192,-1565.414572,852.355222,0.060748041,27265.94332,,,0.64,1,,,
,,18771.62477,-906.6176614,532.8923271,0.062532832,18397.96197,-33,1.839796197,,,,,,29182.778,-1654.577232,890.1058651,0.062532832,28418.36917,,,0.64,1,,,
