Z (cm)	Inj(185A)	Mid(-146)	Ext(152)	Sextupoles(460)	Sum(185+152+-146)
-100	28.65340139	-1.730542893	1.209372758	0.000565649	28.1327969
-99	31.46335425	-1.89525235	1.313677926	0.000605266	30.88238509
-98	34.27330712	-2.059961808	1.417983094	0.000644883	33.63197329
-97	37.08325998	-2.224671265	1.522288263	0.000684499	36.38156148
-96	39.89321285	-2.389380723	1.626593431	0.000724116	39.13114967
-95	42.70316572	-2.554090181	1.730898599	0.000763732	41.88073787
-94	45.51311858	-2.718799638	1.835203768	0.000803349	44.63032606
-93	48.32307145	-2.883509096	1.939508936	0.000842965	47.37991426
-92	51.13302432	-3.048218553	2.043814105	0.000882582	50.12950245
-91	54.98713772	-3.275478068	2.186613543	0.000903663	53.89917686
-90	62.60730695	-3.728341789	2.468253287	0.000857892	61.34807634
-89	70.22747619	-4.18120551	2.749893031	0.000812121	68.79697583
-88	77.84764542	-4.634069231	3.031532775	0.00076635	76.24587532
-87	85.46781466	-5.086932951	3.313172519	0.00072058	83.6947748
-86	93.08798389	-5.539796672	3.594812262	0.000674809	91.14367429
-85	100.7081531	-5.992660393	3.876452006	0.000629038	98.59257377
-84	108.3283224	-6.445524114	4.15809175	0.000583267	106.0414733
-83	115.9484916	-6.898387834	4.439731494	0.000537496	113.4903727
-82	123.5686608	-7.351251555	4.721371238	0.000491725	120.9392722
-81	134.1504769	-7.984216939	5.114067714	0.000462274	131.2807899
-80	150.8079292	-8.986649813	5.734590248	0.000466303	147.556336
-79	167.4653816	-9.989082688	6.355112782	0.000470331	163.831882
-78	184.122834	-10.99151556	6.975635317	0.00047436	180.1074281
-77	200.7802864	-11.99394844	7.596157851	0.000478389	196.3829742
-76	224.5005884	-13.43119071	8.484385314	0.000241606	219.5540246
-75	259.5971819	-15.5687903	9.803811159	-0.000383058	253.8318197
-74	294.6937755	-17.7063899	11.123237	-0.001007722	288.1096149
-73	329.790369	-19.84398949	12.44266285	-0.001632386	322.38741
-72	364.8869626	-21.98158909	13.76208869	-0.00225705	356.6652051
-71	423.8377674	-25.58297356	15.98416248	-0.003392988	414.2355633
-70	513.3516589	-31.05982497	19.36274934	-0.005183994	501.6493993
-69	602.8655504	-36.53667637	22.7413362	-0.006975	589.0632352
-68	722.4712732	-43.88944944	27.27467259	-0.009270431	705.8472259
-67	843.1355528	-51.30821285	31.84863024	-0.011583606	823.6643866
-66	987.17702	-60.17765474	37.31511199	-0.014606327	964.2998709
-65	1155.194352	-70.53492625	43.69697494	-0.018356764	1128.338044
-64	1325.541471	-81.03679906	50.1675337	-0.022325682	1294.64988
-63	1602.737061	-98.17036571	60.70585291	-0.036314542	1565.236234
-62	1842.698243	-113.439317	70.06148385	-0.049501224	1799.270908
-61	2192.277416	-134.8885386	83.27295254	-0.054748809	2140.607081
-60	2620.007965	-160.9968413	99.45599281	0.003381566	2558.470498
-59	3068.963839	-188.7151308	116.5177694	0.014623464	2996.781101
-58	3584.758123	-220.7583866	136.1220481	-0.033823822	3500.087961
-57	4162.240906	-256.3619729	158.0164416	0.000586087	4063.895961
-56	4809.016251	-296.2107023	182.494679	0.050855511	4695.351084
-55	5522.941794	-340.1654879	209.1636035	-0.055692584	5391.884217
-54	6304.190732	-388.0396795	238.3549521	-0.034981387	6154.471024
-53	7123.557862	-437.3798282	268.4132049	0.064533915	6954.655772
-52	8000.318387	-490.1444284	300.0879236	-0.040764925	7810.221117
-51	8913.600358	-544.1303887	332.4780145	-0.025920837	8701.922063
-50	9858.905655	-599.0329065	365.2330388	0.029776775	9625.135564
-49	10827.29049	-654.10173	397.6779078	0.030694865	10570.89737
-48	11812.05694	-708.5941958	429.3557241	0.015446099	11532.83392
-47	12810.53504	-762.1111334	460.0563218	0.042579962	12508.5228
-46	13831.34802	-815.4547517	490.1394435	0.05197798	13506.08469
-45	14871.57262	-868.3216981	519.3221972	0.029242428	14522.60236
