r (cm),B (T)
0,0
0.1,0.00039603
0.2,0.00158412
0.3,0.00356427
0.4,0.00633648
0.5,0.00990075
0.6,0.01425708
0.7,0.01940547
0.8,0.02534592
0.9,0.03207843
1,0.039603
1.1,0.04791963
1.2,0.05702832
1.3,0.06692907
1.4,0.07762188
1.5,0.08910675
1.6,0.10138368
1.7,0.11445267
1.8,0.12831372
1.9,0.14296683
2,0.158412
2.1,0.17464923
2.2,0.19167852
2.3,0.20949987
2.4,0.22811328
2.5,0.24751875
2.6,0.26771628
2.7,0.28870587
2.8,0.31048752
2.9,0.33306123
3,0.356427
3.1,0.38058483
3.2,0.40553472
3.3,0.43127667
3.4,0.45781068
3.5,0.48513675
3.6,0.51325488
3.7,0.54216507
3.8,0.57186732
3.9,0.60236163
4,0.633648
4.1,0.66572643
4.2,0.69859692
4.3,0.73225947
4.4,0.76671408
4.5,0.80196075
4.6,0.83799948
4.7,0.87483027
4.8,0.91245312
4.9,0.95086803
5,0.990075
5.1,1.03007403
5.2,1.07086512
5.3,1.11244827
5.4,1.15482348
5.5,1.19799075
5.6,1.24195008
5.7,1.28670147
5.8,1.33224492
5.9,1.37858043
6,1.425708
6.1,1.47362763
6.2,1.52233932
6.3,1.57184307
6.4,1.62213888
6.5,1.67322675
6.6,1.72510668
6.7,1.77777867
6.8,1.83124272
6.9,1.88549883
7,1.940547
7.1,1.99638723
7.2,2.05301952
