file,date,time,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq
csd_1789863796,9/20/2026,0:23:23,6.19055,49.687,2.146370872,51.3605,53.109,2.375955853,196.723,57.542,2.719489181,144.082,63.068,3.163741019,150.381,70.746,3.848546264,148.836,81.846,5.341419315,126.295,100.707,8.036848369
csd_1789864638,9/20/2026,0:37:24,4.94338,49.595,2.142233695,55.5551,53.11,2.377772606,227.642,57.463,2.712969877,174.109,63.069,3.164820259,180.767,70.747,3.849102122,172.981,81.905,5.347549911,116.857,100.71,8.033785226
csd_1789865541,9/20/2026,0:52:28,3.15853,49.597,2.14463351,39.7045,53.112,2.380320667,205.336,57.465,2.715786316,174.04,62.997,3.163248553,198.65,70.684,3.841450308,182.053,81.907,5.352012992,119.032,100.666,8.033181164
csd_1789866400,9/20/2026,1:06:47,2.67857,49.597,2.144658077,34.0698,53.112,2.380597744,181.764,57.465,2.716422803,171.183,63.071,3.168955542,197.717,70.618,3.831799146,182.041,81.907,5.355473875,123.449,100.62,8.03275089
csd_1789867140,9/20/2026,1:19:06,2.42444,49.687,2.155823624,39.1139,53.109,2.385168554,185.197,57.381,2.712145263,179.144,62.994,3.167547171,234.782,70.615,3.833447054,190.04,81.902,5.354301389,118.161,100.661,8.033390569
csd_1789867869,9/20/2026,1:31:15,3.49897,49.595,2.144660723,41.806,53.11,2.38034929,177.225,57.463,2.715759538,150.178,62.996,3.16337269,181.818,70.682,3.841305967,173.973,81.905,5.35201353,120.266,100.664,8.033198985
csd_1789868597,9/20/2026,1:43:24,5.44853,49.595,2.147547419,48.322,53.11,2.383191673,194.784,57.383,2.710485898,148.323,62.996,3.16606785,180.29,70.682,3.843873664,173.303,81.848,5.347402381,121.148,100.664,8.034978535
csd_1789869352,9/20/2026,1:55:58,6.17072,49.598,2.143355283,53.1988,53.113,2.379024317,196.586,57.386,2.706439303,147.406,63.073,3.166525336,174.1,70.751,3.851612815,164.934,81.909,5.350632039,120.658,100.669,8.03176619
csd_1789870244,9/20/2026,2:10:50,17.8627,49.597,2.139239471,111.257,53.112,2.37523354,267.648,57.465,2.711136032,180.709,63.071,3.163773116,208.213,70.749,3.849587993,172.665,81.963,5.357579377,102.026,100.62,8.028689942
csd_1789871009,9/20/2026,2:23:35,17.8986,49.592,2.136545963,110.716,53.106,2.372270097,266.761,57.459,2.707710527,181.422,63.138,3.164742787,205.729,70.807,3.855947004,172.317,82.011,5.358442251,100.82,100.656,8.026887334
csd_1789871876,9/20/2026,2:38:02,11.1642,49.599,2.137876087,87.1659,53.114,2.374121166,248.566,57.468,2.71053939,181.367,63.074,3.163532567,215.811,70.753,3.850574428,183.554,81.967,5.359927483,102.983,100.579,8.027304965
csd_1789872609,9/20/2026,2:50:16,9.40993,49.594,2.139257494,77.8056,53.109,2.375265712,232.484,57.462,2.711102115,180.918,63.068,3.163896037,213.347,70.746,3.849435961,189.159,81.959,5.357600512,105.57,100.615,8.028699663
csd_1789873426,9/20/2026,3:03:52,4.69466,49.595,2.145142216,42.6847,53.197,2.386788658,196.264,57.383,2.708150503,165.476,62.996,3.163788952,190.5,70.682,3.841678819,174.919,81.905,5.352289648,114.225,100.664,8.03330342
csd_1789874208,9/20/2026,3:16:55,5.15567,49.597,2.145857278,53.1087,53.112,2.381685975,209.505,57.384,2.709193242,163.538,62.997,3.165084042,191.215,70.684,3.843693086,179.539,81.907,5.355162925,124.836,100.62,8.03118073
csd_1789875084,9/20/2026,3:31:31,11.7487,49.595,2.144214244,82.3041,53.11,2.380018475,234.342,57.383,2.707534897,160.291,63.069,3.167952689,187.774,70.682,3.841692111,160.378,81.961,5.359919495,114.782,100.618,8.028882333
csd_1789875889,9/20/2026,3:44:55,12.9469,49.595,2.144632713,86.6217,53.11,2.380516723,228.143,57.383,2.708143953,154.686,63.069,3.168717516,179.794,70.682,3.842684882,158.219,81.905,5.354645184,114.624,100.618,8.031291743
csd_1789876725,9/20/2026,3:58:51,14.1958,49.598,2.144559096,93.6247,53.113,2.380430744,239.157,57.386,2.708127221,152.529,63.073,3.168608808,165.465,70.686,3.842969143,153.673,81.909,5.354593272,115.698,100.623,8.031270813
csd_1789877421,9/20/2026,4:10:27,15.6194,49.597,2.147137498,93.8209,53.112,2.382484578,243.654,57.384,2.709322998,154.179,63.071,3.168862332,165.14,70.684,3.841505928,156.527,81.907,5.349888992,116.089,100.712,8.033935173
csd_1789878220,9/20/2026,4:23:46,22.5639,49.595,2.136813643,120.101,53.11,2.372658769,277.832,57.463,2.708291818,187.461,63.143,3.165318987,204.795,70.813,3.857390391,179.535,81.961,5.353076595,113.278,100.664,8.029263441
csd_1789878946,9/20/2026,4:35:53,16.3258,49.595,2.138869915,107.305,53.11,2.374784449,266.143,57.463,2.710516271,186.701,63.069,3.163087237,237.166,70.747,3.848460349,190.882,82.017,5.362861001,110.569,100.618,8.026290692
csd_1789879715,9/20/2026,4:48:41,6.90752,49.595,2.139703311,63.0392,53.11,2.375777673,227.995,57.463,2.711736948,203.133,63.069,3.164614523,216.115,70.747,3.850451964,206.525,81.905,5.352306176,127.829,100.618,8.031112717
csd_1789880522,9/20/2026,5:02:08,4.72983,49.597,2.14459829,53.1067,53.112,2.380694818,221.28,57.384,2.708574034,179.417,62.997,3.164982588,209.208,70.684,3.844362327,187.542,81.907,5.35754874,114.15,100.574,8.029837494
csd_1789881270,9/20/2026,5:14:36,5.27801,49.597,2.145857278,57.4545,53.112,2.381685975,218.795,57.384,2.709193242,175.37,62.997,3.165084042,218.714,70.684,3.843693086,198.075,81.907,5.355162925,115.507,100.62,8.03118073
csd_1789882267,9/20/2026,5:31:14,6.80029,49.69,2.150777349,63.8917,53.112,2.380694818,238.815,57.384,2.708574034,191.279,62.997,3.164982588,213.521,70.684,3.844362327,197.947,81.907,5.35754874,115.537,100.574,8.029837494
csd_1789883052,9/20/2026,5:44:19,12.2045,49.597,2.14459829,89.9522,53.112,2.380694818,253.918,57.384,2.708574034,171.061,62.997,3.164982588,193.372,70.684,3.844362327,171.882,81.907,5.35754874,114.365,100.574,8.029837494
csd_1789883809,9/20/2026,5:56:56,15.2338,49.595,2.142129746,100.216,53.11,2.378293997,261.787,57.383,2.706310463,168.089,62.996,3.16289775,192.664,70.747,3.853529795,167.926,81.905,5.355955864,112.367,100.572,8.029012131
csd_1789884536,9/20/2026,6:09:03,18.2119,49.599,2.142017285,103.996,53.114,2.378162414,262.586,57.387,2.706267676,163.918,63.001,3.162706917,186.709,70.753,3.853991016,162.574,81.911,5.355917517,111.523,100.579,8.02895446
csd_1789885209,9/20/2026,6:20:16,17.1885,49.597,2.14215387,102.413,53.112,2.378100555,261.175,57.384,2.705771677,163.648,63.071,3.166481802,184.708,70.749,3.852158977,162.436,81.907,5.353065171,112.805,100.62,8.030421819
