file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run1.mca,92.962,05/20/2025 02:07:20,9.998424,9.84 x 1.0161,4858,11215,1024,141.2203818582811,145.41367873421942,294.2757178300295,280,0.491723834760881,0.17218760857630158,0.41644491634576575,-0.009522681441046087,0.0005806656034119984,0.009522681441046087,0.0005806656034119984,1.365238969006054,0.12950057635682358,105.01243858580109,6.403355125832199,1-sigma propagated from slope standard error,Run1_analysis.png,ok
Run13.mca,92.966,05/20/2025 04:22:04,9.998424,9.84 x 1.0161,3647,8438,1024,126.543842792497,134.93043654437363,266.4951260269382,251,0.462407475956764,0.16676049739607648,0.4099999257832002,-0.009958690819260641,0.0006804821893434348,0.009958690819260641,0.0006804821893434348,1.1244255504398386,0.13885730312059888,100.41480533424598,6.861392507957743,1-sigma propagated from slope standard error,Run13_analysis.png,ok
Run17.mca,103.847,05/21/2025 01:28:55,9.998424,9.84 x 1.0161,2813,6701,1024,138.07540920132735,140.17205763929653,287.46161040662975,261,0.427996848120637,0.21818756744327777,0.4689055486171185,-0.009677841973198384,0.0006951964886293563,0.009677841973198384,0.0006951964886293563,0.7580491381018214,0.14881568337314005,103.32882090546418,7.422505313335914,1-sigma propagated from slope standard error,Run17_analysis.png,ok
Run21.mca,91.984,05/21/2025 02:30:09,9.998424,9.84 x 1.0161,3264,7352,1024,145.93784084371168,148.03448928168086,276.45420610729167,239,0.3441655231631411,0.23956050432668236,0.49151003240842517,-0.009581845025119998,0.0008591884096735816,0.009581845025119998,0.0008591884096735816,0.9924333396079785,0.18407937607015099,104.36403400163285,9.35815264867108,1-sigma propagated from slope standard error,Run21_analysis.png,ok
Run24.mca,91.022,05/21/2025 02:52:54,9.998424,9.84 x 1.0161,4864,10342,1024,142.79286818675797,148.03448928168086,293.7515557205372,276,0.4434365815331396,0.17520176261544168,0.420095950466124,-0.008940765541896703,0.0006051192864025718,0.008940765541896703,0.0006051192864025718,1.2914146734368308,0.1355790398518514,111.84724566525867,7.569925099355258,1-sigma propagated from slope standard error,Run24_analysis.png,ok
Run29.mca,90.986,05/21/2025 04:17:09,9.998424,9.84 x 1.0161,6561,13921,1024,140.6962197487888,143.31703029625024,293.7515557205372,286,0.5134039748854616,0.18596076023046626,0.43274743563537227,-0.010227683931766155,0.0005908439509001281,0.010227683931766155,0.0005908439509001281,1.833425370459354,0.13133875208582904,97.77384661781548,5.64830573723033,1-sigma propagated from slope standard error,Run29_analysis.png,ok
Run32.mca,90.99,05/21/2025 05:01:37,9.998424,9.84 x 1.0161,7170,14881,1024,149.60697561015772,152.22778615761916,297.9448525964755,279,0.5020533078801992,0.14123605061401553,0.3771681395506453,-0.008938813142512316,0.0005348801533153686,0.008938813142512316,0.0005348801533153686,1.7145609727433144,0.12249343672563263,111.87167513817644,6.694170444728309,1-sigma propagated from slope standard error,Run32_analysis.png,ok
Run35.mca,91.988,05/21/2025 05:40:38,9.998424,9.84 x 1.0161,15810,34408,1024,149.08281350066542,153.80027248609602,296.89652837749094,274,0.7244549041887133,0.05285180877440595,0.23073886758713674,-0.008991177925744616,0.00033621942763309974,0.008991177925744616,0.00033621942763309974,2.515205510627725,0.0770381216676514,111.2201324741534,4.159006705302245,1-sigma propagated from slope standard error,Run35_analysis.png,ok
Run4.mca,90.027,05/20/2025 03:08:17,9.998424,9.84 x 1.0161,6732,15099,1024,133.88211232538904,135.9787607633582,298.9931768154601,309,0.5731164414411039,0.15472685438089553,0.39463254670335907,-0.00966171721294147,0.0004759029694605015,0.00966171721294147,0.0004759029694605015,1.7638730286866824,0.10568371863892126,103.50126980124624,5.098116675922629,1-sigma propagated from slope standard error,Run4_analysis.png,ok
Run40.mca,94.954,05/21/2025 06:37:05,9.998424,9.84 x 1.0161,11490,22488,1024,140.17205763929653,142.26870607726568,299.5173389249524,301,0.5048842961585172,0.12368550768412483,0.35286376336303077,-0.007797634765061517,0.00044656503360890104,0.007797634765061517,0.00044656503360890104,1.9166550452366884,0.10071804747063633,128.244016311286,7.344444203874953,1-sigma propagated from slope standard error,Run40_analysis.png,ok
Run42.mca,91.005,05/21/2025 06:47:39,9.998424,9.84 x 1.0161,8227,16675,1024,144.88951662472712,146.98616506269627,298.9931768154601,289,0.4679179446748255,0.16901072235738968,0.41253908593742034,-0.008773820634147752,0.0005522710259483892,0.008773820634147752,0.0005522710259483892,1.8070040328512607,0.12531742690133696,113.97543233423251,7.174221080284486,1-sigma propagated from slope standard error,Run42_analysis.png,ok
Run9.mca,92.003,05/20/2025 03:36:27,9.998424,9.84 x 1.0161,4176,10740,1024,145.93784084371168,148.03448928168086,294.79987993952176,269,0.48904315333483817,0.20551777857479628,0.45503542454443896,-0.010645555920347294,0.0006659340705296545,0.010645555920347294,0.0006659340705296545,1.4690043780526199,0.14840216508718126,93.93591161253104,5.876172597946005,1-sigma propagated from slope standard error,Run9_analysis.png,ok
