file,date,time,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq
csd_1760462644,2025-10-14,17:24:08,1.40367e-05,52.281,2.017720724907063,3.61179e-05,55.915,2.2625766728624535,8.14143e-05,59.71,2.6247477899115967,1.96877e-05,69.015,3.222705932565087,4.89502e-05,73.443,3.9786598378147673,4.23032e-05,84.662,5.317177289769686,4.32983e-05,103.16,7.980828699454731
csd_1760463744,2025-10-14,17:42:27,3.5336e-05,45.719,1.5899889344529061,2.78693e-05,66.115,3.031706449391783,7.36676e-05,71.02,3.5650021340162175,2.85204e-05,71.839,3.7048228766538625,2.64235e-06,72.648,3.8429364063166873,1.42341e-06,85.157,5.385784160233223,6.74698e-05,107.132,8.0
csd_1760463998,2025-10-14,17:46:42,3.21806e-05,47.137,1.6822886155047838,2.063e-05,66.005,3.0250160661005276,5.21044e-05,69.774,3.3522833973538195,2.24338e-05,71.635,3.6699957319675636,1.76257e-06,72.749,3.860179257362355,1.27606e-06,85.071,5.373387680181397,5.20807e-05,107.132,8.0
csd_1760465137,2025-10-14,18:05:41,4.16781e-05,46.354,1.6313220074204255,2.61519e-05,66.114,3.0316456277254993,8.81805e-05,71.019,3.5648314127187373,2.10295e-06,72.244,3.773965002134016,0.000187418,76.471,4.344669701838958,1.19512e-06,85.156,5.385640015116343,0.000107066,106.652,8.0
csd_1760466445,2025-10-14,18:27:29,6.05139e-05,45.559,1.5795743018941608,8.09168e-05,66.115,3.031706449391783,0.000264878,70.4,3.4591549295774655,3.25009e-05,71.533,3.652582159624413,5.63295e-06,72.749,3.860179257362355,0.000343556,83.597,5.190731119442956,0.000174982,107.201,8.0
csd_1760470114,2025-10-14,19:28:37,5.79209e-05,46.195,1.6209724663151723,7.30091e-05,66.334,3.0450263943080103,0.000202178,71.121,3.5822449850618856,1.89778e-05,71.836,3.7043107127614165,6.25564e-06,72.646,3.8425949637217247,0.00024708,83.244,5.148819853597573,0.000229647,106.856,8.0
csd_1760470630,2025-10-14,19:37:14,7.93579e-05,51.842,1.9885439041853799,1.89278e-05,56.322,2.29,0.000313384,60.244,2.6746224466375947,1.75413e-05,69.015,3.222705932565087,0.000163699,73.63,4.007361185502589,0.00016349,84.608,5.310765934654527,0.000125421,103.248,7.993513469740323
csd_1760470694,2025-10-14,19:38:18,7.80988e-05,52.542,2.035306691449814,0.000209548,55.832,2.2569842007434944,0.000325229,60.394,2.683745696580216,1.78401e-05,69.079,3.233632095603925,0.000165341,73.379,3.9677336747759293,0.000165346,84.714,5.323351187287985,0.000124851,103.29,7.999567564649356
csd_1760471025,2025-10-14,19:43:49,0.000100217,52.28,2.017653345724907,0.000246277,56.077,2.273492100371747,0.000365945,60.545,2.692929768189121,1.93376e-05,68.947,3.2110968843363206,0.000181338,73.69,4.01448491340832,0.000172872,84.768,5.329762542403143,0.000131056,103.29,7.999567564649356
csd_1760471288,2025-10-14,19:48:12,0.000123989,52.546,2.0355762081784388,0.000282466,55.918,2.2627788104089217,0.0003887,60.399,2.6840498049116364,1.95076e-05,69.085,3.234656423388816,0.000184588,73.385,3.9687580025608207,0.000174595,84.558,5.3048294947330845,0.000137602,103.342,8.0
